Sentence,Entity
"Bundeskanzler Olaf Scholz (l.) mit Frankreichs Präsident Emmanuel Macron (Archivbild) Melden Sie sich an und diskutieren Sie mit  Der Konkurrenzdruck bei Kfz-Versicherungen ist groß Micha Kirsten / Finanztip Hermann-Josef Tenhagen, Jahrgang 1963, ist Chefredakteur von »Finanztip« und Geschäftsführer der Finanztip Verbraucherinformation GmbH. Der Geldratgeber ist Teil der Finanztip Stiftung. »",Olaf Scholz
Dort ist er heute ehrenamtlicher Aufsichtsrat der Genossenschaft.,Genossen
"Melden Sie sich an und diskutieren Sie mit  Ilia Yefimovich / dpa »Befreundet, aber unabhängige Parteien« – so bezeichnet Friedrich Merz die Beziehung zwischen CDU und CSU.",Friedrich Merz
"Melden Sie sich an und diskutieren Sie mit  Ilia Yefimovich / dpa »Befreundet, aber unabhängige Parteien« – so bezeichnet Friedrich Merz die Beziehung zwischen CDU und CSU.",CDU
"Melden Sie sich an und diskutieren Sie mit  Ilia Yefimovich / dpa »Befreundet, aber unabhängige Parteien« – so bezeichnet Friedrich Merz die Beziehung zwischen CDU und CSU.",CSU
"Der CDU-Vorsitzende sieht den Vorschlag der Ampelkoalition, die verabschiedete Wahlrechtsreform  nachzubessern und Listenverbindungen der Union zu ermöglichen, »als geradezu übergriffig« an.",Union
"Der CDU-Vorsitzende sieht den Vorschlag der Ampelkoalition, die verabschiedete Wahlrechtsreform  nachzubessern und Listenverbindungen der Union zu ermöglichen, »als geradezu übergriffig« an.",CDU
"Der CDU-Vorsitzende sieht den Vorschlag der Ampelkoalition, die verabschiedete Wahlrechtsreform  nachzubessern und Listenverbindungen der Union zu ermöglichen, »als geradezu übergriffig« an.",Ampelkoalition
"Der CDU-Vorsitzende sieht den Vorschlag der Ampelkoalition, die verabschiedete Wahlrechtsreform  nachzubessern und Listenverbindungen der Union zu ermöglichen, »als geradezu übergriffig« an.",Ampel
"Die Unionsparteien hätten sich entschlossen, »in räumlich unterschiedlichen Wahlgebieten zu kandidieren und nicht zu konkurrieren«, sagte Merz der »Welt am Sonntag«. »",Union
"Der Vorschlag einer Listenverbindung ist unbrauchbar zur Lösung des von der Ampel selbst herbeigeführten Problems«, sagte Merz nun.",Ampel
"Die Ampel wolle darüber entscheiden, wie sich CDU und CSU bei Bundestagswahlen aufzustellen haben, kritisierte der Unionsfraktionschef.",Union
"Die Ampel wolle darüber entscheiden, wie sich CDU und CSU bei Bundestagswahlen aufzustellen haben, kritisierte der Unionsfraktionschef.",CDU
"Die Ampel wolle darüber entscheiden, wie sich CDU und CSU bei Bundestagswahlen aufzustellen haben, kritisierte der Unionsfraktionschef.",CSU
"Die Ampel wolle darüber entscheiden, wie sich CDU und CSU bei Bundestagswahlen aufzustellen haben, kritisierte der Unionsfraktionschef.",Ampel
"Die Ampelkoalition hatte mit einer Wahlrechtsreform verabschiedet, dass die Fünf-Prozent-Klausel ab der Bundestagswahl 2025 ohne Ausnahmen gilt.",Ampelkoalition
"Die Ampelkoalition hatte mit einer Wahlrechtsreform verabschiedet, dass die Fünf-Prozent-Klausel ab der Bundestagswahl 2025 ohne Ausnahmen gilt.",Ampel
Im Jahr 2021 profitierte etwa die Linkspartei von der Grundmandatsklausel.,Linkspartei
"Der Wegfall könnte, je nach Wahlergebnis, Konsequenzen auch für die CSU haben.",CSU
"Die CSU tritt nur in Bayern an, die CDU nur in den anderen Bundesländern.",CDU
"Die CSU tritt nur in Bayern an, die CDU nur in den anderen Bundesländern.",CSU
"Die meisten Befürworterinnen und Befürworter fänden sich mit 69 Prozent unter denjenigen, die den Grünen nahestünden.",Grüne
Anhängerinnen und Anhänger der Union seien eher dagegen.,Union
"Melden Sie sich an und diskutieren Sie mit  Koalitionspartner: Christian Lindner, Robert Habeck und Olaf Scholz im Juni in Berlin Die FDP will SPD und Grünen beim »kalten Entzug« helfen: Vor dem Treffen der Koalitionsspitzen am Sonntag hat FDP-Vizefraktionschef Christoph Meyer von den Koalitionspartnern mit drastischen Worten mehr Ausgabendisziplin gefordert. »",SPD
"Melden Sie sich an und diskutieren Sie mit  Koalitionspartner: Christian Lindner, Robert Habeck und Olaf Scholz im Juni in Berlin Die FDP will SPD und Grünen beim »kalten Entzug« helfen: Vor dem Treffen der Koalitionsspitzen am Sonntag hat FDP-Vizefraktionschef Christoph Meyer von den Koalitionspartnern mit drastischen Worten mehr Ausgabendisziplin gefordert. »",Grüne
"Melden Sie sich an und diskutieren Sie mit  Koalitionspartner: Christian Lindner, Robert Habeck und Olaf Scholz im Juni in Berlin Die FDP will SPD und Grünen beim »kalten Entzug« helfen: Vor dem Treffen der Koalitionsspitzen am Sonntag hat FDP-Vizefraktionschef Christoph Meyer von den Koalitionspartnern mit drastischen Worten mehr Ausgabendisziplin gefordert. »",FDP
"Melden Sie sich an und diskutieren Sie mit  Koalitionspartner: Christian Lindner, Robert Habeck und Olaf Scholz im Juni in Berlin Die FDP will SPD und Grünen beim »kalten Entzug« helfen: Vor dem Treffen der Koalitionsspitzen am Sonntag hat FDP-Vizefraktionschef Christoph Meyer von den Koalitionspartnern mit drastischen Worten mehr Ausgabendisziplin gefordert. »",Olaf Scholz
"Melden Sie sich an und diskutieren Sie mit  Koalitionspartner: Christian Lindner, Robert Habeck und Olaf Scholz im Juni in Berlin Die FDP will SPD und Grünen beim »kalten Entzug« helfen: Vor dem Treffen der Koalitionsspitzen am Sonntag hat FDP-Vizefraktionschef Christoph Meyer von den Koalitionspartnern mit drastischen Worten mehr Ausgabendisziplin gefordert. »",Christian Lindner
"Melden Sie sich an und diskutieren Sie mit  Koalitionspartner: Christian Lindner, Robert Habeck und Olaf Scholz im Juni in Berlin Die FDP will SPD und Grünen beim »kalten Entzug« helfen: Vor dem Treffen der Koalitionsspitzen am Sonntag hat FDP-Vizefraktionschef Christoph Meyer von den Koalitionspartnern mit drastischen Worten mehr Ausgabendisziplin gefordert. »",Robert Habeck
"Die ungezügelte Ausgabensucht von SPD und Grünen stoppen wir«, sagte Meyer den Zeitungen der Funke Mediengruppe. »",SPD
"Die ungezügelte Ausgabensucht von SPD und Grünen stoppen wir«, sagte Meyer den Zeitungen der Funke Mediengruppe. »",Grüne
"Manchmal muss man dem Alkoholkranken die Flasche Schnaps vom Mund schlagen«, fügte der FDP-Haushaltspolitiker hinzu.",FDP
"Meyer warnte SPD und Grüne davor, Gelder aus dem 200-Milliarden-Abwehrschirm gegen steigende Energiepreise für andere Zwecke verwenden zu wollen. »",SPD
"Meyer warnte SPD und Grüne davor, Gelder aus dem 200-Milliarden-Abwehrschirm gegen steigende Energiepreise für andere Zwecke verwenden zu wollen. »",Grüne
"FDP-Generalsekretär Bijan Djir-Sarai pochte darauf, die Bürger nicht weiter zu belasten, »weder durch Steuererhöhungen noch durch ein übereiltes Verbot von Öl- und Gasheizungen«.",FDP
"FDP-Generalsekretär Bijan Djir-Sarai pochte darauf, die Bürger nicht weiter zu belasten, »weder durch Steuererhöhungen noch durch ein übereiltes Verbot von Öl- und Gasheizungen«.",Bijan Djir-Sarai
"Grünenchefin Ricarda Lang sagte wiederum im sächsischen Bautzen, man müsse beim Klimaschutz von dem Modus wegkommen, dass nur eine Partei Vorschläge mache und viele andere nur sagten, wie es nicht gehe.",Grüne
"Grünenchefin Ricarda Lang sagte wiederum im sächsischen Bautzen, man müsse beim Klimaschutz von dem Modus wegkommen, dass nur eine Partei Vorschläge mache und viele andere nur sagten, wie es nicht gehe.",Ricarda Lang
"Seit Wochen gibt es in der Koalition teils scharfe Diskussionen etwa über den Autobahnausbau, den Klimaschutz im Verkehrsbereich, den Heizungstausch und den anstehenden Etat für 2024. Der Bund der Steuerzahler rief die Spitzen der Ampelparteien derweil auf, bei ihren Beratungen im Koalitionsausschuss alle Ausgaben auf den Prüfstand zu stellen, um den Haushalt zu konsolidieren. »",Ampel
"Seit Wochen gibt es in der Koalition teils scharfe Diskussionen etwa über den Autobahnausbau, den Klimaschutz im Verkehrsbereich, den Heizungstausch und den anstehenden Etat für 2024. Der Bund der Steuerzahler rief die Spitzen der Ampelparteien derweil auf, bei ihren Beratungen im Koalitionsausschuss alle Ausgaben auf den Prüfstand zu stellen, um den Haushalt zu konsolidieren. »",Ampelparteien
"Koalitionspartner: Christian Lindner, Robert Habeck und Olaf Scholz im Juni in Berlin Melden Sie sich an und diskutieren Sie mit  Liebe Leserin, lieber Leser, guten Morgen, heute geht es um die Vorhersehbarkeit von Politik, deutsche Panzer und einen morschen Hauptbahnhof.",Olaf Scholz
"Koalitionspartner: Christian Lindner, Robert Habeck und Olaf Scholz im Juni in Berlin Melden Sie sich an und diskutieren Sie mit  Liebe Leserin, lieber Leser, guten Morgen, heute geht es um die Vorhersehbarkeit von Politik, deutsche Panzer und einen morschen Hauptbahnhof.",Christian Lindner
"Koalitionspartner: Christian Lindner, Robert Habeck und Olaf Scholz im Juni in Berlin Melden Sie sich an und diskutieren Sie mit  Liebe Leserin, lieber Leser, guten Morgen, heute geht es um die Vorhersehbarkeit von Politik, deutsche Panzer und einen morschen Hauptbahnhof.",Robert Habeck
Es gilt nur eingeschränkt für die Ampelkoalition.,Ampelkoalition
Es gilt nur eingeschränkt für die Ampelkoalition.,Ampel
"Es hat schon Treffen unter einfacheren Vorzeichen gegeben, also ohne einen Vizekanzler (Robert Habeck, falls es Ihnen kurz entfallen sein sollte), der den Koalitionspartnern Vertrauensbruch vorwirft.",Robert Habeck
"Und ohne eine FDP, die sich gerade an den Verbrennermotor klammert wie die katholische Kirche an die Lehre von der Jungfrauengeburt.",FDP
Damals war noch Kurt Beck SPD-Vorsitzender. (,SPD
"Es lief schon länger nicht überragend für Beck (noch mal schlechter als gerade für Friedrich Merz), allmählich rückte die Bundestagswahl 2009 näher, und es stellte sich die Frage, ob Beck überhaupt noch ein akzeptabler Kanzlerkandidat sein könne (natürlich nicht).",Friedrich Merz
"Zu dieser Zeit, ein Jahr vor der Wahl, stand eine Klausur der SPD-Spitze am Schwielowsee an, und viele Menschen fragten sich, was dort wohl passieren würde.",SPD
"Ich weiß noch genau, dass ich damals den Hessischen Rundfunk einschaltete und ein Radiokollege mir (und allen anderen Hörerinnen und Hörern) in einem etwas genervten Ton erklärte, dass ja derzeit vor jedem SPD-Treffen spekuliert und gefragt werde, ob denn jetzt eigentlich ein Kanzlerkandidat gekürt würde.",SPD
"Okay, Kurt Beck schmiss dann hin, Frank-Walter Steinmeier wurde Kanzlerkandidat, und durch die SPD lief das größte Beben seit Günter Guillaume.",SPD
"Okay, Kurt Beck schmiss dann hin, Frank-Walter Steinmeier wurde Kanzlerkandidat, und durch die SPD lief das größte Beben seit Günter Guillaume.",Frank-Walter Steinmeier
"Kommentar: Der Selbsthass der Ampel  Ich habe diese Woche viele Mails von Leserinnen und Lesern bekommen, darüber habe ich mich sehr gefreut.",Ampel
"Er regte damals an, dass ich doch mehrere Sozialdemokraten, die damals besonders skeptisch waren, mal etwas eingehender befragen, sie mit der Realität in der Ukraine konfrontieren sollte.",Sozialdemokraten
"»Helfen beim kalten Entzug«: FDP-Fraktionsvize Meyer wirft SPD und Grünen »ungezügelte Ausgabensucht« vor Verheerender Wirbelsturm: Mindestens sieben Tote bei Tornado in Mississippi Uno-Ermittlungen: Ukraine verwahrt sich gegen Vorwurf willkürlicher Exekutionen von Kriegsgefangenen »Ein Jahresgehalt von 300.000 Dollar ist natürlich verlockend«: Für diesen Job muss man keine Programmiersprache können: Prompt Writers bringen künstliche Intelligenzen dazu, optimale Ergebnisse zu liefern.",SPD
"»Helfen beim kalten Entzug«: FDP-Fraktionsvize Meyer wirft SPD und Grünen »ungezügelte Ausgabensucht« vor Verheerender Wirbelsturm: Mindestens sieben Tote bei Tornado in Mississippi Uno-Ermittlungen: Ukraine verwahrt sich gegen Vorwurf willkürlicher Exekutionen von Kriegsgefangenen »Ein Jahresgehalt von 300.000 Dollar ist natürlich verlockend«: Für diesen Job muss man keine Programmiersprache können: Prompt Writers bringen künstliche Intelligenzen dazu, optimale Ergebnisse zu liefern.",Grüne
"»Helfen beim kalten Entzug«: FDP-Fraktionsvize Meyer wirft SPD und Grünen »ungezügelte Ausgabensucht« vor Verheerender Wirbelsturm: Mindestens sieben Tote bei Tornado in Mississippi Uno-Ermittlungen: Ukraine verwahrt sich gegen Vorwurf willkürlicher Exekutionen von Kriegsgefangenen »Ein Jahresgehalt von 300.000 Dollar ist natürlich verlockend«: Für diesen Job muss man keine Programmiersprache können: Prompt Writers bringen künstliche Intelligenzen dazu, optimale Ergebnisse zu liefern.",FDP
"»Helfen beim kalten Entzug«: FDP-Fraktionsvize Meyer wirft SPD und Grünen »ungezügelte Ausgabensucht« vor Verheerender Wirbelsturm: Mindestens sieben Tote bei Tornado in Mississippi Uno-Ermittlungen: Ukraine verwahrt sich gegen Vorwurf willkürlicher Exekutionen von Kriegsgefangenen »Ein Jahresgehalt von 300.000 Dollar ist natürlich verlockend«: Für diesen Job muss man keine Programmiersprache können: Prompt Writers bringen künstliche Intelligenzen dazu, optimale Ergebnisse zu liefern.",FDP-Fraktion
Melden Sie sich an und diskutieren Sie mit  Familienministerin Lisa Paus (Grüne) und Justizminister Marco Buschmann (FDP) bei der Vorstellung des Eckpunktepapiers zum Selbstbestimmungsgesetz in der Bundespressekonferenz in Berlin (30.06.2022) Die Bundesregierung hat beim von der Ampelkoalition geplanten Selbstbestimmungsgesetz zur vereinfachten Änderung von amtlichem Geschlechtseintrag und Vornamen eine Einigung erzielt.,Grüne
Melden Sie sich an und diskutieren Sie mit  Familienministerin Lisa Paus (Grüne) und Justizminister Marco Buschmann (FDP) bei der Vorstellung des Eckpunktepapiers zum Selbstbestimmungsgesetz in der Bundespressekonferenz in Berlin (30.06.2022) Die Bundesregierung hat beim von der Ampelkoalition geplanten Selbstbestimmungsgesetz zur vereinfachten Änderung von amtlichem Geschlechtseintrag und Vornamen eine Einigung erzielt.,FDP
Melden Sie sich an und diskutieren Sie mit  Familienministerin Lisa Paus (Grüne) und Justizminister Marco Buschmann (FDP) bei der Vorstellung des Eckpunktepapiers zum Selbstbestimmungsgesetz in der Bundespressekonferenz in Berlin (30.06.2022) Die Bundesregierung hat beim von der Ampelkoalition geplanten Selbstbestimmungsgesetz zur vereinfachten Änderung von amtlichem Geschlechtseintrag und Vornamen eine Einigung erzielt.,Ampelkoalition
Melden Sie sich an und diskutieren Sie mit  Familienministerin Lisa Paus (Grüne) und Justizminister Marco Buschmann (FDP) bei der Vorstellung des Eckpunktepapiers zum Selbstbestimmungsgesetz in der Bundespressekonferenz in Berlin (30.06.2022) Die Bundesregierung hat beim von der Ampelkoalition geplanten Selbstbestimmungsgesetz zur vereinfachten Änderung von amtlichem Geschlechtseintrag und Vornamen eine Einigung erzielt.,Ampel
Melden Sie sich an und diskutieren Sie mit  Familienministerin Lisa Paus (Grüne) und Justizminister Marco Buschmann (FDP) bei der Vorstellung des Eckpunktepapiers zum Selbstbestimmungsgesetz in der Bundespressekonferenz in Berlin (30.06.2022) Die Bundesregierung hat beim von der Ampelkoalition geplanten Selbstbestimmungsgesetz zur vereinfachten Änderung von amtlichem Geschlechtseintrag und Vornamen eine Einigung erzielt.,Lisa Paus
Melden Sie sich an und diskutieren Sie mit  Familienministerin Lisa Paus (Grüne) und Justizminister Marco Buschmann (FDP) bei der Vorstellung des Eckpunktepapiers zum Selbstbestimmungsgesetz in der Bundespressekonferenz in Berlin (30.06.2022) Die Bundesregierung hat beim von der Ampelkoalition geplanten Selbstbestimmungsgesetz zur vereinfachten Änderung von amtlichem Geschlechtseintrag und Vornamen eine Einigung erzielt.,Marco Buschmann
"Bundesfamilienministerin Lisa Paus (Grüne) hatte Anfang des Jahres mitgeteilt, das Selbstbestimmungsgesetz solle noch vor der parlamentarischen Sommerpause beschlossen werden.",Grüne
"Bundesfamilienministerin Lisa Paus (Grüne) hatte Anfang des Jahres mitgeteilt, das Selbstbestimmungsgesetz solle noch vor der parlamentarischen Sommerpause beschlossen werden.",Lisa Paus
"Familienministerin Lisa Paus (Grüne) und Justizminister Marco Buschmann (FDP) bei der Vorstellung des Eckpunktepapiers zum Selbstbestimmungsgesetz in der Bundespressekonferenz in Berlin (30.06.2022) Melden Sie sich an und diskutieren Sie mit  Trotz Randbebauung soll das Tempelhofer Feld die grüne Lunge Berlins bleiben In ihren Koalitionsgesprächen in Berlin haben sich die Verhandler von CDU und SPD darauf geeinigt, das Tempelhofer Feld teilweise zu bebauen.",SPD
"Familienministerin Lisa Paus (Grüne) und Justizminister Marco Buschmann (FDP) bei der Vorstellung des Eckpunktepapiers zum Selbstbestimmungsgesetz in der Bundespressekonferenz in Berlin (30.06.2022) Melden Sie sich an und diskutieren Sie mit  Trotz Randbebauung soll das Tempelhofer Feld die grüne Lunge Berlins bleiben In ihren Koalitionsgesprächen in Berlin haben sich die Verhandler von CDU und SPD darauf geeinigt, das Tempelhofer Feld teilweise zu bebauen.",Grüne
"Familienministerin Lisa Paus (Grüne) und Justizminister Marco Buschmann (FDP) bei der Vorstellung des Eckpunktepapiers zum Selbstbestimmungsgesetz in der Bundespressekonferenz in Berlin (30.06.2022) Melden Sie sich an und diskutieren Sie mit  Trotz Randbebauung soll das Tempelhofer Feld die grüne Lunge Berlins bleiben In ihren Koalitionsgesprächen in Berlin haben sich die Verhandler von CDU und SPD darauf geeinigt, das Tempelhofer Feld teilweise zu bebauen.",FDP
"Familienministerin Lisa Paus (Grüne) und Justizminister Marco Buschmann (FDP) bei der Vorstellung des Eckpunktepapiers zum Selbstbestimmungsgesetz in der Bundespressekonferenz in Berlin (30.06.2022) Melden Sie sich an und diskutieren Sie mit  Trotz Randbebauung soll das Tempelhofer Feld die grüne Lunge Berlins bleiben In ihren Koalitionsgesprächen in Berlin haben sich die Verhandler von CDU und SPD darauf geeinigt, das Tempelhofer Feld teilweise zu bebauen.",CDU
"Familienministerin Lisa Paus (Grüne) und Justizminister Marco Buschmann (FDP) bei der Vorstellung des Eckpunktepapiers zum Selbstbestimmungsgesetz in der Bundespressekonferenz in Berlin (30.06.2022) Melden Sie sich an und diskutieren Sie mit  Trotz Randbebauung soll das Tempelhofer Feld die grüne Lunge Berlins bleiben In ihren Koalitionsgesprächen in Berlin haben sich die Verhandler von CDU und SPD darauf geeinigt, das Tempelhofer Feld teilweise zu bebauen.",Lisa Paus
