Sentence,Entity
"Aber vielleicht müsste sich die FDP einfach mal fragen, ob sie nicht vielleicht auch auf die falschen Inhalte setzen.",FDP
"Und eine Option, die von der Ampel ja sogar schon umgesetzt wurde, ist die Abschaffung der sogenannten EEG-Umlage nach dem erneuerbare Energiengesetz, die ist leicht schnell und günstig zu machen.",Ampel
"Das wird sich ändern, das M-dergebnis CDU 35 Prozent, 2,7 Prozent Punkte hinzugewahren.",CDU
"Die SPD landet bei 26,7 Prozent, minus 4,5, damit liegen rund 9 Prozent Punkte zwischen den beiden ehemals großen Parteien.",SPD
"Die FDP stürzt ab, halbiert sich mehr als halbiert sich, landet nochmal 5,9 Prozent, minus 6,7 Punkte.",FDP
"Die AfD nur noch ganz knapp im Landtag in Düsseldorf vertreten 5,4 Prozent, minus 2 Prozent Punkte.",AfD
"Sensationell dazu gewonnen, haben hingegen die Grünen.",Grüne
Die CDU Henry Gwist ist der klare Sieger.,CDU
Die SPD hat Ihr schlechtes Ergebnis ever in Nordrhein-Westfalen erzielt.,SPD
"Immerhin in dem Bundesland, dass viele Sozialdemokratinnen immer noch quasi als die Herzkammer der Sozialdemokratie bezeichnen.",Sozialdemokratinnen
Die Frage ist jetzt trotz oder wegen Olaf Scholz oder Olaf Scholz hatte sich nämlich ganz massiv in den Wahlkampf eingemischt.,Olaf Scholz
Er hat sich sogar mit dem SPD-Spitzenkandidaten Kutschati auf Wahlplakaten ablichten lassen.,SPD
"Das heißt, man muss wohl auch sagen, ein Muss jetzt auch in die Mithaftung gehen für diese Katastrophe der SPD.",SPD
Also das kann man auch nur als ein Vodschum gegen die Regierungspolitik von Olaf Scholz lesen.,Olaf Scholz
"Werden kann die grünen, sind neben der CDU der klare Gewinner, haben ihn stimmend Teil verdreifacht.",CDU
Die waren vorher ja mit der SPD in einer Koalition.,SPD
"Unsere Quellen in der FDP sagen, in der Partei werde jetzt gemoß hat, dass die FDP in der Ampel, also auf Bundesebene, nicht genügend Sichtbarkeit erzielt habe.",FDP
"Unsere Quellen in der FDP sagen, in der Partei werde jetzt gemoß hat, dass die FDP in der Ampel, also auf Bundesebene, nicht genügend Sichtbarkeit erzielt habe.",Ampel
"Muss ich ganz ehrlich sagen, Philipp, wundert mich so ein bisschen diese Selbstwahrnimmung der FDP.",FDP
Ich habe den anderen die FDP sehr dominant in der Ampel.,FDP
Ich habe den anderen die FDP sehr dominant in der Ampel.,Ampel
"Man kann so ein bisschen besorgt sein, angesicht dieser Selbstanalyse, weil was passiert, wenn die FDP in der Ampel das Gefühl hat, sie ist nicht sichtbar genug.",FDP
"Man kann so ein bisschen besorgt sein, angesicht dieser Selbstanalyse, weil was passiert, wenn die FDP in der Ampel das Gefühl hat, sie ist nicht sichtbar genug.",Ampel
"Also ich muss ganz ehrlich sagen, dafür, dass sie die mit Abstand doch kleinste Ampelpartei es macht, die FDP momentan enorm wind.",FDP
"Also ich muss ganz ehrlich sagen, dafür, dass sie die mit Abstand doch kleinste Ampelpartei es macht, die FDP momentan enorm wind.",Ampel
Denn sichtbar war die FDP ja auch mit absolut sinnvoller verantwortungsbewusster Politik.,FDP
"Und mal als Beispiel Christian Lindner's Woht schon im Deutschen Bundestag pro Energiewende, die ja gerade für seine Partei sehr geschickt, finde ich gelabel, hat bezeichnet, hat als Freiheitsenergien.",Christian Lindner
Das hat quasi den FDP-Leuten klarmacht.,FDP
Wahnsinnig smarter Move von Christian Lindner.,Christian Lindner
"Die FDP ist eben auch mit sehr fragwürdigen Ideen, die die Öffentlichkeit getreten, Benzinsoventionen.",FDP
"Und da weiß ich aufgrund persönlicher Bindungen in die in die in die Schullandschaft in Nordrhein-Westfalen muss man sagen, hat die FDP-Ministerin, die eigentlich Immobilienmarklerin ist.",FDP
"Ja, das gilt aber auch für ihre Vorgängerin, die von den Grünen kamen.",Grüne
Die wurde auch damals von den Grünen abgestraft.,Grüne
Da haben wir als würde die Grünen abgestraft.,Grüne
"Ich denke, ganz zentral jedenfalls akut, dürften die chaotischen Positionen der Linksparteien, der Außenpolitik sein, insbesondere die jedenfalls aus der Sicht viele Menschen nicht hinreichend eindeut, die sind da ein deutige Distanzierung von Russland, die doch sagen, mal wankelmütige Unterstützung für den Freiheitskampf der Ukraine erinnern.",Linkspartei
"Und ich finde sie auch so quasi im politischen Gefühl, auf Bundesebene sehr wertvoll quasi als soziales Gewissen der Ampel.",Ampel
"Also immer wieder mal die Frage zu stellen, ob die Ampelkoalition auch Fragen der sozialen Gerechtigkeit hinreichend hochpräriereisiert.",Ampel
"Also immer wieder mal die Frage zu stellen, ob die Ampelkoalition auch Fragen der sozialen Gerechtigkeit hinreichend hochpräriereisiert.",Ampelkoalition
"Also ein Teilaspekt ist sicherlich, dass insbesondere die Sozialdemokraten, massive Probleme hatten, ihr Potenzial zu motivieren.",Sozialdemokraten
"Also viele Menschen, die traditionell SPD gewählt haben in Nordrhein-Westfalen, sind einfach nicht so Wahl gegangen.",SPD
"Aber ich könnte mir auch gut vorstellen, weil sie einfach völlig entnervt waren von der Politik von Olaf Scholz.",Olaf Scholz
"Und wenn man ganz ehrlich bislang ist, hat auch die Ampel wenig unternommen, um die soziale Spaltung in Deutschland wenigstens mal abzubremsen.",Ampel
"Aber insbesondere die FDP hat im Koalitionsvertrag ganz maßgeblich rausverhandelt, dass es eben wenig passieren wird.",FDP
"Also das kann man eigentlich nur als wahrenendes Signal an die Ampelkoalition verstehen, doch jetzt mehr Mut aufzubringen, was gegen soziale Spaltung zu tun und ins Besondere, das haben wir im Intervormittemal sehr fragt, sich auch rausgearbeitet.",Ampel
"Also das kann man eigentlich nur als wahrenendes Signal an die Ampelkoalition verstehen, doch jetzt mehr Mut aufzubringen, was gegen soziale Spaltung zu tun und ins Besondere, das haben wir im Intervormittemal sehr fragt, sich auch rausgearbeitet.",Ampelkoalition
"Und da was zu tun, das ist aus meiner Sicht die zentrale Hausaufgabe der Ampelkoalition.",Ampel
"Und da was zu tun, das ist aus meiner Sicht die zentrale Hausaufgabe der Ampelkoalition.",Ampelkoalition
"Aber ich denke, sie ist politisch einfach unwahrscheinlich und vor allen Dingen, weil die SPD das nicht will und maximal unbeliebt ist.",SPD
Die Ampel ist sicherlich auch in einer Option.,Ampel
"Hoffen in der SPD zumindest viele Olaf Scholz ist schwer dafür und hat den glauben daran noch nicht verloren Kevin Günert, hat am Wahlabend für die Ampel auch in NRW getrommelt, weil das natürlich irgendwie schön wäre, dass die SPD da noch an der Macht wäre, obwohl sie halt so viel verloren hat.",Ampel
"Hoffen in der SPD zumindest viele Olaf Scholz ist schwer dafür und hat den glauben daran noch nicht verloren Kevin Günert, hat am Wahlabend für die Ampel auch in NRW getrommelt, weil das natürlich irgendwie schön wäre, dass die SPD da noch an der Macht wäre, obwohl sie halt so viel verloren hat.",SPD
"Hoffen in der SPD zumindest viele Olaf Scholz ist schwer dafür und hat den glauben daran noch nicht verloren Kevin Günert, hat am Wahlabend für die Ampel auch in NRW getrommelt, weil das natürlich irgendwie schön wäre, dass die SPD da noch an der Macht wäre, obwohl sie halt so viel verloren hat.",Olaf Scholz
Schließlich hätte die Ampel dann ja im Bundesrat sich stimmen mehr.,Ampel
"Nordrhein-Westfalen als ein befürkungsreiches Bundesland hat eben ein starkes Stimmengewicht im Bundesrat und das wäre schon wichtig gerade, wenn man jetzt tatsächlich auch Projekte durchsetzen will mit der Ampel, die wirklich die Zustimmung brauchen im Bundesrat.",Ampel
"Also das wäre ein ganz starker Anreiz zu sagen, das sollte doch eine Ampel geben.",Ampel
"Aber auf der anderen Seite muss man sagen, das wäre schon auch ein Bündnis zweier Verlierer plus Grünen.",Grüne
Also SPD und FDP haben ja beide verloren.,FDP
Also SPD und FDP haben ja beide verloren.,SPD
"Dementsprechend hat die FDP diese Idee, bis lang auch immer eine Absage erteilt und gesagt, ""no, machen wir nicht.""",FDP
"Ja, mag für viele Grüne tatsächlich auch ein reizvolles Projekt sein.",Grüne
Aber die Union hat die Grünen natürlich zusammen mit der FDP maximal gequält in NRW.,FDP
Aber die Union hat die Grünen natürlich zusammen mit der FDP maximal gequält in NRW.,Union
Aber die Union hat die Grünen natürlich zusammen mit der FDP maximal gequält in NRW.,Grüne
"Also ich kann mir kaum vorstellen, wie die Grünen ihrer Basis erklären wollen, dass sie das alles jetzt akzeptieren.",Grüne
"Also da müsste die CDU vermutlich große Zuständnisse machen, dass also wesentliche Tade der letzten vier Jahre rückabgewickelt werden.",CDU
"Ja, außerdem wäre schwarz-grünen, bundespolitisch auch schwierig und hätte da gewaltige Nachteile, weil die Grünen der CDU natürlich auch verschiedenen Ebenen helfen würden.",CDU
"Ja, außerdem wäre schwarz-grünen, bundespolitisch auch schwierig und hätte da gewaltige Nachteile, weil die Grünen der CDU natürlich auch verschiedenen Ebenen helfen würden.",Grüne
Also sie würden einmal helfen der CDU die Bundesregierung in Berlin stärker zuquelen.,CDU
"Sie würden natürlich auch die Position, das haben wir eben gesagt, der Ampel im Bundesrat schwächen, weil da eben dann nicht FDP und SPD mit drin sitzen, sondern die CDU.",FDP
"Sie würden natürlich auch die Position, das haben wir eben gesagt, der Ampel im Bundesrat schwächen, weil da eben dann nicht FDP und SPD mit drin sitzen, sondern die CDU.",Ampel
"Sie würden natürlich auch die Position, das haben wir eben gesagt, der Ampel im Bundesrat schwächen, weil da eben dann nicht FDP und SPD mit drin sitzen, sondern die CDU.",CDU
"Sie würden natürlich auch die Position, das haben wir eben gesagt, der Ampel im Bundesrat schwächen, weil da eben dann nicht FDP und SPD mit drin sitzen, sondern die CDU.",SPD
"Und dann wirklich ja seine Amtszeit Richtung Bundestagswahl auch zu großen Teilen schon absolviert wäre und Friedrich Mehrz, der Vorsitzende der CDU bei der Bundestagswahl dann 70 wird.",CDU
"Also da wär schon, wenn du da eine Union präsentieren willst mit einem jungen Gesicht, mit jemandem, der einen Amt inner hatte, ein großes Bundesland geführt hat.",Union
"Und die Grünen ihm dabei geholfen haben, sich so zu präsentieren, das ist schon auch eine strategische Erwegeung, finde ich, die nicht verland so weisen.",Grüne
"Also, ich könnte mir, also die natürlich müssen die Grünen jetzt mit der Union erstmal verhandeln.",Union
"Also, ich könnte mir, also die natürlich müssen die Grünen jetzt mit der Union erstmal verhandeln.",Grüne
"Da gibt es ja noch ein paar andere inhaltliche Punkte, die Grünen wollen zum Beispiel sich herstellen, dass tatsächlich so lainer Energie auf jedes Dach kommt.",Grüne
"Das will die Union aber nicht, weil heuslebar und billig sein soll und von Industriebetriebe auch nicht so viel kosten haben sollen.",Union
"Sie wollen Tempo 30 in Städten, das kann das Land ohnehin nur in Teilen einführen, aber da immerhin wollen die Grünen das.",Grüne
"Ja, vor allem da stehen die Grünen auch bei Basis einfach einmal.",Grüne
Auf der anderen Seite ist es für die Union natürlich schon schwierig.,Union
Da haben Sie jetzt so ein Law and Order gesetzt durchgebockst mit der FDP.,FDP
"Ich finde noch ein interessanten Aspekt so auch für die Bundespolitik, dass jetzt mit Schwarz-Gelb in Düsseldorf tatsächlich das letzte Schwarz-Gelb-Bündnis-Bundesweit verschwindet in Deutschland.",Schwarz-Gelb
"Schwarz-Gelb, das war eigentlich immer die konservative Option.",Schwarz-Gelb
"Wenn die Union nicht irgendwo eine absolute Mehrheit hatte, dann war das halt Schwarz-Gelb.",Union
"Wenn die Union nicht irgendwo eine absolute Mehrheit hatte, dann war das halt Schwarz-Gelb.",Schwarz-Gelb
Und die FDP hat immer der Union geholfen.,FDP
Und die FDP hat immer der Union geholfen.,Union
Und nun scheint sich da der Wind zu drehen hin zu Schwarz-Grün.,Schwarz-Grün
"Und das finde ich schon interessant, denn Schwarz-Grün gibt es ja wo?",Schwarz-Grün
Hessen ist Schwarz-Grün.,Schwarz-Grün
"Und man muss einfach sehen, die Grünen sind jetzt in einem Industrieland mit einer sehr großen Bevölkerung, eine sehr starke Partei, knapp hinter der SPD inzwischen.",SPD
"Und man muss einfach sehen, die Grünen sind jetzt in einem Industrieland mit einer sehr großen Bevölkerung, eine sehr starke Partei, knapp hinter der SPD inzwischen.",Grüne
Also damit sind die Grünen bei den nächsten Bundestagswahl auf jeden Fall wieder im Spiel bei der Kandidatur umskanzleamt.,Grüne
"Und wenn jemand bei den Grünen Kanzler kann, dann scheint das momentan zumindest Robert Habeck zu sein.",Grüne
"Und wenn jemand bei den Grünen Kanzler kann, dann scheint das momentan zumindest Robert Habeck zu sein.",Robert Habeck
"Ja, auch wenn einer Linna Bergbok viele Menschen überrascht, wenn er überzeugen wird, aus dem Politik würde ich auch sagen, wie soll ich sagen, ist doch die Politik von Robert Habeck noch mal eine ganze andere Liga am.",Robert Habeck
"Und die Grünen sagen, wir wollen Spitzenkandidaten ausstellen.",Grüne
"Die Grünen sind einfach auch eine dezidiert feministische Partei und es ist nicht auszuschließen, dass sie einfach sagen, einer Linna Bergbok ist unsere prominenteste Ministerin.",Grüne
"Die Grünen sind einfach auch eine dezidiert feministische Partei und es ist nicht auszuschließen, dass sie einfach sagen, einer Linna Bergbok ist unsere prominenteste Ministerin.",Die Grünen
Hier diskutiert Bundesentwicklungsministerin Svenja Schulze mit Expertenen über die drängenden Fragen unserer Zeit.,Svenja Schulze
"Also da muss man sagen, ""Wait to go, liebe Europäische Union.""",Union
"Denn da gibt es ja in ziemlich klare Festlegung, die NATO und auch die Europäische Union liefern zwar Waffen und liefern alle möglichen auch Geheimdienstinformationen unterstützen, die Ukraine auf verschiedenste Weise, auch mit Sanktionen gegen Russland.",Union
"Und in der Europäischen Union ist dieser teilweise Zwiftausschluss seit dem zweiten Märzamtlich, gesagt, nicht alle russischen Banken sind von Zwift ausgeschlossen.",Union
Das ist auch für die Europäische Union eine echte Zeitinwende.,Union
"Also ganz ehrlich, also bei allem Verständnis, bei aller quasi so rein, spontan emotionalen Sympathie für diese Idee wäre das, glaube ich, eine richtige Schnapsidee, denn da würde man dann doch ganz wesentliche Teile des sogenannten ""Aki-Kommunitärer"", und so quasi das erreichten gemeinsamen Rechtsrahmens der Europäischen Union schlicht und ergreifend aufgeben müssen.",Union
"Die Debatte ist natürlich symbolisch, sehr, sehr wichtig und sie zeigt halt einfach, wie groß die Bereitschaft gerade in der Europäischen Union ist, auch über drei oder vier Schatten zu springen, um der Ukraine zu Seite zu stehen.",Union
"So Philipp und dann, in die jenseits dieser Waffenlieferung hat Bundeskanzler Olaf Scholz eine historische Rede im Bundestag gehalten.",Olaf Scholz
"Denn Olaf Scholz hat im Engel gesagt, unter anderem soll es ein einmaliges Sondervermögen Bundeswehr geben, von 100 Milliarden Euro das eingerichtet werden soll.",Olaf Scholz
"Aber genau so uralt waren und sind eben die Widerstände in ganz vielen Parteien, SPD und Krühne allen voran.",SPD
"Aber auch linke, auch der SPD-Fraktionsvorsitzender Rolf Mütze nicht hat mehr oder weniger sein politisches Leben damit verbracht, gegen dieses 2% Ziel anzukämpfen.",SPD
"Aber auch linke, auch der SPD-Fraktionsvorsitzender Rolf Mütze nicht hat mehr oder weniger sein politisches Leben damit verbracht, gegen dieses 2% Ziel anzukämpfen.",SPD-Fraktion
"Fragt sich natürlich viele, wie begründet eigentlich Olaf Scholz diesen doch wohl eindeutig historischen Schwenk, den Ärger vergleichsweise schnell entschieden hat.",Olaf Scholz
Aber das ist nun eben momentan die Situation und da hat sich einfach enorm was verschoben in der aus dem politischen Konzeption von Olaf Scholz.,Olaf Scholz
"Und umso mehr stellt sich natürlich die Frage, wer wusste denn eigentlich von dem Plan von Olaf Scholz?",Olaf Scholz
"Klar ist glaube ich Christian Lindner, der FDP-Chef und Bundesfinanzminister.",FDP
"Klar ist glaube ich Christian Lindner, der FDP-Chef und Bundesfinanzminister.",Christian Lindner
Insofern amzen Nachfolger von Olaf Scholz war ganz offensichtlich eingeweint zu Christian Lindner's Rede im Bundestag im Kommenweg noch.,Olaf Scholz
Insofern amzen Nachfolger von Olaf Scholz war ganz offensichtlich eingeweint zu Christian Lindner's Rede im Bundestag im Kommenweg noch.,Christian Lindner
Aber überrascht wurde hingegen ganz offenbar die SPD-Fraktion.,SPD
Aber überrascht wurde hingegen ganz offenbar die SPD-Fraktion.,SPD-Fraktion
"Die To, die Grünenfraktionen, die wusste glaube ich auch von nichts oder viele da wussten von nichts.",Grüne
"Die Grünen aber mentieren jetzt okay, wir so nach dem Motto, wir schlucken das so.",Grüne
"Die Grünen aber mentieren jetzt okay, wir so nach dem Motto, wir schlucken das so.",Die Grünen
Also sowohl die SPD-Fraktion als auch die Grünen haben intern riesen Bauchschmerzen.,SPD
Also sowohl die SPD-Fraktion als auch die Grünen haben intern riesen Bauchschmerzen.,Grüne
Also sowohl die SPD-Fraktion als auch die Grünen haben intern riesen Bauchschmerzen.,SPD-Fraktion
Das ist schon was worüber gerade eine sozialdemokratische oder eben auch eine jedenfalls von den Wurzeln herjapazifistische Grünepartei länger als nur zwei Sekunden nachdenken müssen.,Grüne
"Also insbesondere bei den Grünen gibt es die Idee zu sagen, wir stecken das jetzt nicht alles in Waffen, sondern ganz im Gegenteil wir begreifen.",Grüne
"Das Ganze ist eine politische Ansage von Olaf Scholz, wie die dann letztlich umgesetzt wird.",Olaf Scholz
"Deswegen unsere Frage, was sollte denn Christine Lambrecht, die Bundesverteilungsministerin tun, um diese Probleme in den Griff zu bekommen?",Christine Lambrecht
"Und da ist natürlich gerade auch die Grüne parteige fragt, die ja eben starke pacifistische Wurzeln hat da genau hinzugucken und auf ein polistisches Bild von Friedenspolitik zu achten.",Grüne
"Aber ich sehe da für die Linksfraktion auch eine große Chance, das furchtbare Erbe von Sarah Wagenknächt und Oscar Laffantälen und teilweise auch Leuten wie Klaus Ernst oder so jetzt mal abzulegen und wirklich deutlich zu machen.",Linksfraktion
"Ja und was wir auch noch sagen wollen an dieser Stelle, es gibt natürlich bei dem ganzen auch eine komplexe juristische Perspektive des Geld zum einen für die europäische Union.",Union
"Also was mich da an der Stelle ein bisschen hat aufhorchen lassen, war die Rede von Friedrich März, also dem Vorsitzenden der CDU und auch der CDU/CSU-Bundestagsfraktion, der nämlich relativ klar gesagt hat.",CDU
"Also was mich da an der Stelle ein bisschen hat aufhorchen lassen, war die Rede von Friedrich März, also dem Vorsitzenden der CDU und auch der CDU/CSU-Bundestagsfraktion, der nämlich relativ klar gesagt hat.",CDU/CSU-Bundestagsfraktion
"Also was mich da an der Stelle ein bisschen hat aufhorchen lassen, war die Rede von Friedrich März, also dem Vorsitzenden der CDU und auch der CDU/CSU-Bundestagsfraktion, der nämlich relativ klar gesagt hat.",CDU/CSU
"Also was mich da an der Stelle ein bisschen hat aufhorchen lassen, war die Rede von Friedrich März, also dem Vorsitzenden der CDU und auch der CDU/CSU-Bundestagsfraktion, der nämlich relativ klar gesagt hat.",CSU
"Also ja, wir wollen da schon mit der Ampel-Koalition darüber reden, aber im Großen und Ganzen würden sie auch eine Grundgesetzänderung mitmachen, um dieses Bundeswehr Sondervermögen zu genehmigen.",Ampel
Also da bin ich ganz argwünnisch geworden und das stündig in der Tradition der engsten Verbindungen der CDU/CSU zur deutschen Rüstungsindustrie denken wir an Franz Josef Strauß und seiner Amigodils und so.,CDU
Also da bin ich ganz argwünnisch geworden und das stündig in der Tradition der engsten Verbindungen der CDU/CSU zur deutschen Rüstungsindustrie denken wir an Franz Josef Strauß und seiner Amigodils und so.,CDU/CSU
Also da bin ich ganz argwünnisch geworden und das stündig in der Tradition der engsten Verbindungen der CDU/CSU zur deutschen Rüstungsindustrie denken wir an Franz Josef Strauß und seiner Amigodils und so.,CSU
"Deswegen hat Olaf Scholz gesagt, wir wollen in Deutschland zwei LNG-Terminals bauen und die sollen dann auf später Wasserstoff umrustbar sein.",Olaf Scholz
"Da sammermaldeutet doch an, dass die Ampel das mit der Energiewende ernst meint, das Gesetz soll noch vor Ostern durchs Kabinett und vor der Sommerpause beschlossen werden, um dann schon am 1. Juli zu gelten.",Ampel
"Das hat sich die Groko ausgedacht, um den Photovoltaik ausbaus zu bremsen.",Groko
"Ja und deswegen würde ich sagen, geben wir Christian Lindner, den wir hier selten das Wort erteilen muss man leider sagen.",Christian Lindner
"Dem Finanzminister von der FDP doch das Schlusswort, er sagte in der Bundestagsdebatte... Erneuerbare Energien leisten nämlich nicht nur einen Beitrag zur Energie, Sicherheit und Versorgung.",FDP
Christian Lindner ist einfach ein smarter politischer Tee.,Christian Lindner
"Der Koalitionsvertrag ist ja schon oft in die Energiewände ausgerichtet, aber die FDP tatsigt damit radizionell schwer.",FDP
"Und ich glaube, Christian Lindner hat mit dieser Rede und auch mit diesem Neologismus, mit dieser Wortneuschöpfung von den Freiheitsenergien im Grunde das Signal ausgegeben.",Christian Lindner
"Liebe FDP, das wollen wir jetzt auch.",FDP
Das ist so ein bisschen so wie die SPD-Leute aus der Lausitz oder aus dem reineschen Braunkorn revieren.,SPD
"Ja, wir kommen zum nächsten großen Blog in dieser Sendung und das ist ein, wie ich jedenfalls finde, sehr, sehr spannendes Gespräch, das wir vorgestern am Montag dieser Woche mit dem Bundesjustizminister Marco Buschmann von der FDP geführt haben.",FDP
"Ja, wir kommen zum nächsten großen Blog in dieser Sendung und das ist ein, wie ich jedenfalls finde, sehr, sehr spannendes Gespräch, das wir vorgestern am Montag dieser Woche mit dem Bundesjustizminister Marco Buschmann von der FDP geführt haben.",Marco Buschmann
"Wir haben es gesagt, wir haben das jetzt hier mal vor das Interview gestellt, auf diese Dinge konnte Marco Buschmann nicht eingehen.",Marco Buschmann
"Ja, das, wie gesagt, verweckestellt nun also zu unserem Interview mit Dr. Marco Buschmann, erst Bundesminister der Justizjagern 1977 stammt aus dem schönen Bundesland Nordrhein-Westfalen, ist promovierter Jurist und war, bevor er Minister wurde, von 2017 bis 2021 erster parlamentarischer Geschäftsführer der Fraktion der FDP im Deutschen Bundestag.",FDP
"Ja, das, wie gesagt, verweckestellt nun also zu unserem Interview mit Dr. Marco Buschmann, erst Bundesminister der Justizjagern 1977 stammt aus dem schönen Bundesland Nordrhein-Westfalen, ist promovierter Jurist und war, bevor er Minister wurde, von 2017 bis 2021 erster parlamentarischer Geschäftsführer der Fraktion der FDP im Deutschen Bundestag.",Marco Buschmann
"Wir haben ja auch mal rumgefragt, gibt es die FDP-Weele, FDP-Weeleren haben sich ein paar gemeldet, was war denn so euer Motiv, warum habt ihr die FDP gewählt, was reizt euch so an der FDP?",FDP
"Und da war ein Feedback, ja, die FDP steht für uns für so ein Aufbruch, für einen liberalen Aufbruch, für so eine liberale Modernisierung, Deutschland soll raus aus dem Reformstaue, aber eben mit liberalen Methoden weniger jetzt mit Grün-Metonen.",FDP
"Und dabei ist die Frage, ob wir diese Konzellation, wo sich alle einig sind, wo ich sogar, ich glaube, den Eindruck habe, ich habe mittlerweile sogar die CDU überzeugt, dass man da nichts dagegen haben kann.",CDU
"Und deshalb müssen wir auch immer wieder beweisen, dass diese Form uns zu organisieren, schon erfolgreich sein kann, auch effektiv sein kann, wir schulden Erfolg als Liberale der Demokratie.",Liberale
"Nein, das gilt eigentlich ähnlich im Bereich auch andere Drogen und das ist zugleiche eine Sorge der Union, die formuliert, das könnte ein Dambruch sein als nächstes wird, dann vielleicht Kokain oder Heroin-Frage geben.",Union
"Und der fragt, das müssen die Prokative frage gestellt, auch mit diesem Unionsargument, das hat dann gefrattet, warum eigentlich nicht?",Union
"Netzwerk, auch nicht jede einzelne Regelung für der Weißer letzten Schlusshalte und deshalb ja zusammen mit meinem Kollegen Volker Wissingen sehr innergen stehen die SA, den Digital Service Act auf europäische Ebene vorangetrieben, habe der im nächsten Jahr das deutsche Netzdg applösen wird, aber das zeigt es gibt dafür regeln, deshalb hat ja die Kommission auch gesagt, es hängt jetzt nicht nur an Ielenmask, was der für richtig hält, sondern die Regelungen, die vor Ielenmask für Twitter-Gelten, auch beim Eigentümerwechsel weiterhin für Twitter und deshalb finde ich, sollte man jetzt nicht so sehr auf die Eigentümer-Struktur schauen, sondern es geht natürlich jetzt erst mal darum, dass die Regeln eingehalten und durchgesetzt werden.",Volker Wissing
"Und auch schon, als wir in der Position als FDP waren, war uns ganz unwohl mit vielen Regelungen.",FDP
"Man hat sich nicht so richtig, hat die Ampel sich nicht so richtig auf eine Abschaffung und was kommt eigentlich danach einigen können, sondern hat gesagt, okay, wir wollen es im Prinzip abschaffen, aber wir brauchen einen Ersatz, weil das natürlich nicht völlig ungeregelt sein kann.",Ampel
"Das war Marco Buschmann, Bundesminister der Justiz, im Gespräch mit der Lage Nation.",Marco Buschmann
"Okay, das war also unser Interview, was wir am Montag aufgezeichnet haben mit Marco Buschmann.",Marco Buschmann
"Und da ist ja im Interview so ein bisschen angeklungen, dass das Bundesjustizministerium, dass man da insgesamt nicht so richtig vorankommt, weil das Bundesgesundheitsministerium unter Gesundheitsminister Karl Lauterbach das etwas anders sieht als Herr Buschmann.",Karl Lauterbach
"Ich glaube unsere Präferenz ist deutlich angeklungen, das als Bundestagskommission zu machen allein schon, weil die demokratische Legitimation natürlich eine völlig andere ist als wenn der Weisungsabhängige Beamte entscheiden, aber wie gesagt, da laufen die Diskussionen und wie wir aus wohl informierter Quelle noch so am Rande erfahren haben, spielt ja auch die Bundesfamilieministerin dieser Pause eine ganz interessante Rolle, weil die von den Grünen wohl eine DCD-Deposition hat.",Grüne
Hier diskutiert Bundesentwicklungsministerin Svenja Schulze mit Expertenin über die drängenden Fragen unserer Zeit.,Svenja Schulze
"Ähnliches errichtet Robin Mesa-Rosch, der ist Mitglied des Deutschen Bundestages für die SPD.",SPD
Gott sei Dank hat sich die europäische Union dieses Themas angenommen.,Union
"Vorschreiben dürfen, das fordert auch der Digitalpolitiker von der SPD, Robin Mesarosch.",SPD
