Sentence,Entity,predicted_label
"Um hier schnell wieder den Anschluss an die Konkurrenz zu finden, dürfte der öffentliche Beistand von Bundeskanzler Olaf Scholz nicht ausreichen.",Olaf Scholz,2
Bundeskanzler Olaf Scholz sprach ihr demonstrativ das Vertrauen aus.,Olaf Scholz,1
"Services: Services: Services: Services: Services: Services: Services: Permalink: https://www.faz.net/-gzh-b6is7 Aktuelle Nachrichten aus Politik, Wirtschaft, Sport und Kultur Herausgegeben von Gerald Braunberger, Jürgen Kaube, Carsten Knop, Berthold Kohler                             Zeitung                                                    FAZ.NET                         					Dank an Grüne: Sozialdemokrat Mike Josef umarmt am Abend seines Sieges bei der OB-Wahl die Frankfurter Grünen-Politikerin Nargess Eskandari Grünberg.",Grüne,0
"Bild: Lucas Bäuml 			Uwe Becker hat von CDU-Stammwählern und den Älteren profitiert, Mike Josef von Innenstädtern und den Grünen.",Grüne,0
"Bild: Lucas Bäuml 			Uwe Becker hat von CDU-Stammwählern und den Älteren profitiert, Mike Josef von Innenstädtern und den Grünen.",CDU,0
"Von den Wählern, die noch 2021 für die SPD gestimmt hatten, machten nur 23 Prozent diesmal ihr Kreuz bei dem SPD-Kandidaten.",SPD,2
"Hätte der sich auf seine eigenen Genossen verlassen müssen, hätte er die Wahl deutlich verloren.",Genossen,1
"97 Prozent der Bürger, die schon 2021 für die CDU stimmten, votierten sowohl in der ersten Runde als auch in der Stichwahl für Uwe Becker.",CDU,2
"Dazu kamen die Anhänger der FDP, der AfD und der unabhängigen Maja Wolff, die nach der ersten Runde ausgeschieden waren und nun für den konservativeren Bewerber in der Stichwahl gestimmt haben.",FDP,2
"Dazu kamen die Anhänger der FDP, der AfD und der unabhängigen Maja Wolff, die nach der ersten Runde ausgeschieden waren und nun für den konservativeren Bewerber in der Stichwahl gestimmt haben.",AfD,2
"Mehr zum Thema 1/ 												Frankfurt hat gewählt            : 							Was Mike Josef jetzt tun muss			         												Oberbürgermeister-Wahl in Frankfurt            : 							Ein weiter Weg für die CDU zurück an die Macht			         												Frankfurter OB-Wahl            : 							Wie Mike Josef OB werden konnte			         												Mike Josef gewinnt OB-Wahl            : 							Zehn Aufgaben für Frankfurts neuen Oberbürgermeister			         												OB-Wahl Frankfurt            : 							Mike Josef gewinnt knapp in Frankfurt			         Warum so auffallend wenige der eigenen Anhänger für Josef stimmten, darüber lässt sich nur spekulieren.",CDU,2
Doch zu Josefs Glück gibt es ja die Grünen.,Grüne,2
Fast jede zweite Stimme für den SPD-Kandidaten stammt aus dem Grünen-Lager.,SPD,2
Fast jede zweite Stimme für den SPD-Kandidaten stammt aus dem Grünen-Lager.,Grüne,2
Permalink: https://www.faz.net/-gzh-b6is7 Weitere Themen                                   OB-Wahl Frankfurt                                : Mike Josef gewinnt knapp in Frankfurt                         Mike Josef hat die Stichwahl um das Amt des Oberbürgermeisters gegen den CDU-Kandidaten Uwe Becker mit wenigen Tausend Stimmen Vorsprung gewonnen.,CDU,2
OB-Wahl in Kassel                                : Grüner gewinnt gerade so Stichwahl ohne Gegenkandidat                         Der Grünen-Politiker Sven Schoeller hat die Stichwahl in Kassel ganz knapp gewonnen.,Grüne,2
"OB-Wahl Frankfurt: Wo Wahlsieger Josef verloren hat – und die CDU hoffen kann OB-Wahl Frankfurt Wo Josef verloren hat – und es Hoffnung für die CDU gibt Uwe Becker hat von CDU-Stammwählern und den Älteren profitiert, Mike Josef von Innenstädtern und den Grünen.",Grüne,2
"OB-Wahl Frankfurt: Wo Wahlsieger Josef verloren hat – und die CDU hoffen kann OB-Wahl Frankfurt Wo Josef verloren hat – und es Hoffnung für die CDU gibt Uwe Becker hat von CDU-Stammwählern und den Älteren profitiert, Mike Josef von Innenstädtern und den Grünen.",CDU,2
Das Grüne Heupferd zum Beispiel erzeugt die charakteristischen Laute wie bei Langfühlerschrecken üblich: Es reibt spezielle Strukturen seiner Vorderflügel übereinander.,Grüne,2
Anders als etwa das Grüne Heupferd erzeugten die urtümlichen Vertreter der Langfühlerschrecken nämlich jeweils nur einen bestimmten Ton.,Grüne,2
Nachfolger von Sturgeon                                : Humza Yousaf wird neuer Regierungschef Schottlands                         Der bisherige Gesundheitsminister Humza Yousaf wird neuer schottischer Regierungschef.,Regierung,2
"Atomwaffen in Belarus                                : Berlin sieht keine neue nukleare Bedrohung                         Politiker der Ampelkoalition und der Union reagieren auf Wladimir Putins Ankündigung, Atomwaffen in Belarus zu stationieren.",Ampelkoalition,1
"Atomwaffen in Belarus                                : Berlin sieht keine neue nukleare Bedrohung                         Politiker der Ampelkoalition und der Union reagieren auf Wladimir Putins Ankündigung, Atomwaffen in Belarus zu stationieren.",Union,1
"Atomwaffen in Belarus                                : Berlin sieht keine neue nukleare Bedrohung                         Politiker der Ampelkoalition und der Union reagieren auf Wladimir Putins Ankündigung, Atomwaffen in Belarus zu stationieren.",Ampel,1
"Am Sonntag hatte der Bildungsminister angekündigt, die Schulöffnungszeiten entgegen der Regierungslinie nach der Sommerzeit auszurichten, weil das Kabinett vorher nicht konsultiert worden sei.",Regierung,2
Der Rückzug der bisherigen Regierungschefin Nicola Sturgeon hatte die Krise der Partei offenbart.,Regierung,1
"Permalink: https://www.faz.net/-gq5-b6igb Der frühere schottische Justiz- und Gesundheitsminister Humza Yousaf führt künftig die Schottische Nationalpartei (SNP), die in der Regionalregierung in Edinburgh bislang eine Koalitionsregierung mit den Grünen bilden.",Koalition,2
"Permalink: https://www.faz.net/-gq5-b6igb Der frühere schottische Justiz- und Gesundheitsminister Humza Yousaf führt künftig die Schottische Nationalpartei (SNP), die in der Regionalregierung in Edinburgh bislang eine Koalitionsregierung mit den Grünen bilden.",Grüne,2
"Yousaf wird an diesem Dienstag voraussichtlich auch das Amt des Ministerpräsidenten (Esten Ministers) übernehmen und damit Nicola Sturgeon nachfolgen, die Partei und Regierung seit knapp neun Jahren angeführt hatte.",Regierung,2
"Der grüne Koalitionspartner hatte zuvor wissen lassen, er wolle die Koalition nicht in jedem Fall verlängern.",Koalition,2
Nachfolge von Nicola Sturgeon: Humza Yousaf wird neuer Regierungschef in Schottland Sturgeon-Nachfolger Humza Yousaf muss es richten Die Mitglieder der Schottischen Nationalpartei haben entschieden: Humza Yousaf wird neuer Parteivorsitzender und neuer „First Minister“.,Regierung,2
"Selbst ihre Kritiker gestehen ein, dass eine Wagenknecht-Partei Potential hätte – als Auffangbecken für Frustrierte aller Art, von enttäuschten Linkswählern über Querdenker bis hin zu AfD-Sympathisanten.",AfD,1
"Die Regierung von Ministerpräsident Viktor Orbán unterstützt erklärtermaßen die Norderweiterung der Allianz, die Abgeordneten seiner Fidesz-Partei pflegen zu folgen, und überdies ist die Opposition bis auf den äußerst rechten Rand auch dafür.",Regierung,2
"Die Regierung von Ministerpräsident Viktor Orbán unterstützt erklärtermaßen die Norderweiterung der Allianz, die Abgeordneten seiner Fidesz-Partei pflegen zu folgen, und überdies ist die Opposition bis auf den äußerst rechten Rand auch dafür.",Opposition,2
"Zuletzt verbreitete sich Balázs Orbán, der mit dem Chef nicht verwandte politische Direktor des Ministerpräsidentenamts, via Twitter über die Frage des schwedischen Regierungschefs Ulf Kristersson, was für ein Problem Ungarn denn mit seinem Land habe.",Regierung,1
"Balazs Orbán zitierte frühere Aussagen Kristerssons und zweier seiner Minister darüber, dass die EU die Regierung in Budapest unter Druck setzen müsse, und fügte hämisch hinzu: „Guten Morgen, Stockholm.“",Regierung,1
"Dabei ist Ungarn vorbehaltlos dem Strafgerichtshof beigetreten, und zwar in Orbáns erster Regierungszeit von 1998 bis 2002. Offenbar fehlt noch ein Gesetzgebungsschritt, bei politischem Willen wäre das kein Problem.",Regierung,1
"Mit dem erklärten Ziel, die Beziehungen zur ukrainischen Regierung zu verbessern, hat dieser Tage Außen-Staatssekretär Levente Magyár eine Reise nach Kiew angekündigt.",Regierung,2
"Der Wiederaufbau der Ukraine sei eine Mammutaufgabe, die Regierungen allein nicht schultern können, sagt Ministerin Schulze.",Regierung,1
"Der Krieg in der Ukraine sorgt dafür, dass Olaf Scholz besonders viel durch die Welt reist.",Olaf Scholz,2
"Frankreichs früherer Präsident wirft der Regierung Merkel vor, gegenüber Putin ein Bild der Schwäche mitverursacht zu haben.",Regierung,1
Die Regierung geht gegen die Ukrainische Orthodoxe Kirche vor.,Regierung,2
Vor allem die Grünen haben im Kosovo-Krieg ihre Lektion gelernt: Nie wieder Völkermord.,Grüne,1
Statt attraktiven Einkaufsverträgen zwischen Regierungen und Impfstoffherstellern zählen nun kommerzielle Marktbestellungen.,Regierung,2
"Die Gewerkschaften in zwei unterschiedlichen Tarifkonflikten haken sich unter, wie man es sich eigentlich von den gleichzeitig tagenden Koalitionsspitzen in Berlin wünschen würde.",Koalition,1
Die UBS übernimmt den angeschlagenen Rivalen in einem von der Schweizer Regierung orchestrierten Deal für drei Milliarden Franken.,Regierung,1
Das kündigte Hessens Verkehrsminister Tarek ­Al-Wazir (Die Grünen) am Sonntag an.,Grüne,2
Das kündigte Hessens Verkehrsminister Tarek ­Al-Wazir (Die Grünen) am Sonntag an.,Die Grünen,2
"Damit werde eine Forderung der Opposition erfüllt, erläuterten SPD und Linke im Landtag.",SPD,2
"Damit werde eine Forderung der Opposition erfüllt, erläuterten SPD und Linke im Landtag.",Opposition,2
"Tobias Eckert, der verkehrspolitische Sprecher der SPD-Fraktion, warf die „Frage nach einer auskömmlichen Finanzierung des öffentlichen Nahverkehrs mit originären Landesmitteln“ auf. „",SPD,2
"Tobias Eckert, der verkehrspolitische Sprecher der SPD-Fraktion, warf die „Frage nach einer auskömmlichen Finanzierung des öffentlichen Nahverkehrs mit originären Landesmitteln“ auf. „",SPD-Fraktion,2
"Wir erwarten, dass CDU und Grüne ein Konzept vorlegen, das nicht wieder darauf gründet, dass die hessischen Kommunen schon das zahlen werden, was Schwarz-Grün nicht bereit ist zu finanzieren.“",Grüne,2
"Wir erwarten, dass CDU und Grüne ein Konzept vorlegen, das nicht wieder darauf gründet, dass die hessischen Kommunen schon das zahlen werden, was Schwarz-Grün nicht bereit ist zu finanzieren.“",CDU,2
"Wir erwarten, dass CDU und Grüne ein Konzept vorlegen, das nicht wieder darauf gründet, dass die hessischen Kommunen schon das zahlen werden, was Schwarz-Grün nicht bereit ist zu finanzieren.“",Schwarz-Grün,2
FAZ Plus Artikel:                                  Mike Josef im Interview                                : „Die Stadt ist keine One-Man-Show“                         Mike Josef (SPD) ist der erste Oberbürgermeister von Frankfurt mit einer Einwanderungsgeschichte.,SPD,2
"Services: Services: Services: Services: Services: Services: Services: Permalink: https://www.faz.net/-gqe-b6ebj Aktuelle Nachrichten aus Politik, Wirtschaft, Sport und Kultur Herausgegeben von Gerald Braunberger, Jürgen Kaube, Carsten Knop, Berthold Kohler                             Zeitung                                                    FAZ.NET                         					Raus damit: Die Koalition steckt im Heizungsdilemma.",Koalition,2
Bild: arborpulchra - stock.adobe.com 			Die Koalition diskutiert neue Wege aus dem Heizungsdilemma.,Koalition,1
"Permalink: https://www.faz.net/-gqe-b6ebj Seit einem Monat streitet die Ampelkoalition über den Gesetzentwurf von Wirtschaftsminister Robert Habeck (Grüne) und Bauministerin Klara Geywitz (SPD), der von 2024 an den Einbau neuer Gas- und Ölheizungen in Deutschland weitgehend verbieten soll.",SPD,1
"Permalink: https://www.faz.net/-gqe-b6ebj Seit einem Monat streitet die Ampelkoalition über den Gesetzentwurf von Wirtschaftsminister Robert Habeck (Grüne) und Bauministerin Klara Geywitz (SPD), der von 2024 an den Einbau neuer Gas- und Ölheizungen in Deutschland weitgehend verbieten soll.",Grüne,1
"Permalink: https://www.faz.net/-gqe-b6ebj Seit einem Monat streitet die Ampelkoalition über den Gesetzentwurf von Wirtschaftsminister Robert Habeck (Grüne) und Bauministerin Klara Geywitz (SPD), der von 2024 an den Einbau neuer Gas- und Ölheizungen in Deutschland weitgehend verbieten soll.",Ampelkoalition,1
"Permalink: https://www.faz.net/-gqe-b6ebj Seit einem Monat streitet die Ampelkoalition über den Gesetzentwurf von Wirtschaftsminister Robert Habeck (Grüne) und Bauministerin Klara Geywitz (SPD), der von 2024 an den Einbau neuer Gas- und Ölheizungen in Deutschland weitgehend verbieten soll.",Robert Habeck,1
"Permalink: https://www.faz.net/-gqe-b6ebj Seit einem Monat streitet die Ampelkoalition über den Gesetzentwurf von Wirtschaftsminister Robert Habeck (Grüne) und Bauministerin Klara Geywitz (SPD), der von 2024 an den Einbau neuer Gas- und Ölheizungen in Deutschland weitgehend verbieten soll.",Klara Geywitz,1
"Permalink: https://www.faz.net/-gqe-b6ebj Seit einem Monat streitet die Ampelkoalition über den Gesetzentwurf von Wirtschaftsminister Robert Habeck (Grüne) und Bauministerin Klara Geywitz (SPD), der von 2024 an den Einbau neuer Gas- und Ölheizungen in Deutschland weitgehend verbieten soll.",Ampel,1
"Eine vergleichbare Abwrackprämie für alte Heizungen wäre einfach, eingängig und schnell umsetzbar, hieß es am Freitag in Koalitionskreisen. „",Koalition,2
Die Koalition diskutiert neue Wege aus dem Heizungsdilemma.,Koalition,2
"Um diese zu schließen, können sich SPD und Grüne in der Ampelkoalition vorstellen, höhere Einkommen stärker zu belasten und zugleich den Zugang zur Privatversicherung (PKV) zu erschweren.",SPD,2
"Um diese zu schließen, können sich SPD und Grüne in der Ampelkoalition vorstellen, höhere Einkommen stärker zu belasten und zugleich den Zugang zur Privatversicherung (PKV) zu erschweren.",Grüne,2
"Um diese zu schließen, können sich SPD und Grüne in der Ampelkoalition vorstellen, höhere Einkommen stärker zu belasten und zugleich den Zugang zur Privatversicherung (PKV) zu erschweren.",Ampelkoalition,2
"Um diese zu schließen, können sich SPD und Grüne in der Ampelkoalition vorstellen, höhere Einkommen stärker zu belasten und zugleich den Zugang zur Privatversicherung (PKV) zu erschweren.",Ampel,2
"Josef siegt in zentrumsnahen Stadtteilen, Becker in Randbezirken +++ Wahlbeteiligung bei 35 Prozent +++ Kassel: Grünen-Politiker Sven Schoeller ohne Gegenkandidat gewählt +++ Aktuelle Infos im Liveblog Der Flughafen ist streikbedingt lahmgelegt, am Frankfurter Hauptbahnhof findet eine EVG-Protestveranstaltung statt.",Grüne,2
"Ein Gegenvorschlag von Nancy Faeser wurde in der zweiten Runde bereits abgelehnt – nun soll die Streikbeteiligung jedoch so hoch sein, wie seit Jahren nicht mehr.",Nancy Faeser,2
Verunsicherte Investoren                                : Schweizer Aufsicht rechtfertigt Credit-Suisse-Abschreibungen                         Die Finma begründet ihre Anordnung mit vertraglichen Bedingungen und der Notverordnung der Regierung.,Regierung,1
"Dass die Mehrzahl seiner Wähler von den Grünen stammt, wird er noch zu spüren bekommen.",Grüne,1
"Josef kündigt an, den Entscheidungsstau im Römer aufzulösen; wichtige Vereinbarungen im Koalitionsvertrag von Grünen, SPD, FDP und Volt, den er ausdrücklich zum Maßstab seines Tuns erhebt, sollen zügig verwirklicht werden.",SPD,1
"Josef kündigt an, den Entscheidungsstau im Römer aufzulösen; wichtige Vereinbarungen im Koalitionsvertrag von Grünen, SPD, FDP und Volt, den er ausdrücklich zum Maßstab seines Tuns erhebt, sollen zügig verwirklicht werden.",Koalition,1
"Josef kündigt an, den Entscheidungsstau im Römer aufzulösen; wichtige Vereinbarungen im Koalitionsvertrag von Grünen, SPD, FDP und Volt, den er ausdrücklich zum Maßstab seines Tuns erhebt, sollen zügig verwirklicht werden.",Grüne,1
"Josef kündigt an, den Entscheidungsstau im Römer aufzulösen; wichtige Vereinbarungen im Koalitionsvertrag von Grünen, SPD, FDP und Volt, den er ausdrücklich zum Maßstab seines Tuns erhebt, sollen zügig verwirklicht werden.",FDP,1
"Den ersten Schritt zum OB über den Parteien hat Josef schon gemacht, ein wenig unfreiwillig allerdings: Wie die bemerkenswert präzisen Analysen der städtischen Wahlforscher zeigen, hat in der Stichwahl nur etwa ein Viertel der Wähler, die bei der Kommunalwahl von 2021 für die SPD gestimmt haben, für Josef votiert.",SPD,1
"Den knappen Sieg über den CDU-Kandidaten Uwe Becker, der auf respektable 48 Prozent der Stimmen gekommen ist, verdankt Josef vor allem den Wählern der Linkspartei und insbesondere den Anhängern der Grünen.",Grüne,2
"Den knappen Sieg über den CDU-Kandidaten Uwe Becker, der auf respektable 48 Prozent der Stimmen gekommen ist, verdankt Josef vor allem den Wählern der Linkspartei und insbesondere den Anhängern der Grünen.",CDU,2
"Den knappen Sieg über den CDU-Kandidaten Uwe Becker, der auf respektable 48 Prozent der Stimmen gekommen ist, verdankt Josef vor allem den Wählern der Linkspartei und insbesondere den Anhängern der Grünen.",Linkspartei,2
Letztere stellten jeden zweiten seiner Wähler und trugen damit mehr zu seinem Sieg bei als die eigenen Genossen.,Genossen,2
"Indem er sich nicht nur bei den Grünen-Wählern, sondern auch bei seinem Stichwahlgegner Becker gleich zweimal für einen fairen Wahlkampf bedankt, öffnet Josef seine Perspektive über die eigene Koalition hinaus, durchaus im Geist der Hessischen Gemeindeordnung, der parteipolitische Konfrontation fremd ist.",Koalition,0
"Indem er sich nicht nur bei den Grünen-Wählern, sondern auch bei seinem Stichwahlgegner Becker gleich zweimal für einen fairen Wahlkampf bedankt, öffnet Josef seine Perspektive über die eigene Koalition hinaus, durchaus im Geist der Hessischen Gemeindeordnung, der parteipolitische Konfrontation fremd ist.",Grüne,0
"Josef möchte die Parteien der Opposition in wichtige Entscheidungen einbinden, damit diese über einen möglichen Machtwechsel nach der nächsten Wahl hinaus Bestand haben.",Opposition,2
"Mehr zum Thema 1/ 												Frankfurt hat gewählt            : 							Was Mike Josef jetzt tun muss			         												OB-Wahl Frankfurt            : 							Wo Josef verloren hat – und es Hoffnung für die CDU gibt			         												Nach der OB-Wahl in Frankfurt            : 							„Zeit des Handelns und der Entscheidungen“			         												Nach der OB-Wahl            : 							Knapp vorbei ist für die Frankfurter CDU nicht ganz daneben			         Die Wunschzettel in der Agentur des städtischen Wandels bewegen sich in der Zugluft, wenn die Tür aufgeht und ein verspäteter Besucher der Pressekonferenz hereintritt. „",CDU,2
"Und so geht es weiter – bis hin zur Forderung nach strengeren Kontrollen von Fußgängern, die rote Ampeln ignorieren.",Ampel,1
Permalink: https://www.faz.net/-gsf-b6j0x Weitere Themen                                   Nach der OB-Wahl in Frankfurt                                : „Zeit des Handelns und der Entscheidungen“                         Bei den Parteien der Koalition Im Rathaus Römer herrscht Erleichterung über den Erfolg von Mike Josef (SPD).,SPD,2
Permalink: https://www.faz.net/-gsf-b6j0x Weitere Themen                                   Nach der OB-Wahl in Frankfurt                                : „Zeit des Handelns und der Entscheidungen“                         Bei den Parteien der Koalition Im Rathaus Römer herrscht Erleichterung über den Erfolg von Mike Josef (SPD).,Koalition,2
OB-Wahl Frankfurt                                : Mike Josef gewinnt knapp in Frankfurt                         Mike Josef hat die Stichwahl um das Amt des Oberbürgermeisters gegen den CDU-Kandidaten Uwe Becker mit wenigen Tausend Stimmen Vorsprung gewonnen.,CDU,2
"Was weiß man aber, wenn man nun ausweislich der Presseerklärung weiß: „Christine Lambrecht war in der Haushaltsdebatte im September 2022 die beste aus dem Kabinett.“",Christine Lambrecht,2
"Den Stoff für ihren ersten Akt liefert der Erlass der Arbeitszeitricht­linie der Europäischen Union im Jahr 2003. Die Richtlinie regelt Höchstarbeits- und Ruhezeiten, sieht aber weitreichende Abweichungsmöglichkeiten nicht nur für leitende Arbeitnehmer, sondern auch für Arbeitsverhältnisse vor, „wenn die Arbeitszeit wegen der besonderen Merkmale der ausgeübten Tätigkeit nicht gemessen und/oder nicht im Voraus festgelegt wird oder von den Arbeitnehmern selbst festgelegt werden kann“.",Union,2
Für das aus dem langen Schatten der Hitlerzeit tretende Gastland markierte der Besuch nach den Worten des SPD-Politikers Carlo Schmid „das Ende vom Status der geächteten Nation“.,SPD,2
"Services: Services: Services: Services: Services: Services: Services: Permalink: https://www.faz.net/-gsb-b6hjk Aktuelle Nachrichten aus Politik, Wirtschaft, Sport und Kultur Herausgegeben von Gerald Braunberger, Jürgen Kaube, Carsten Knop, Berthold Kohler                             Zeitung                                                    FAZ.NET                         					Unions-Fraktionsvize Jens Spahn, Journalistin Petra Pinzler, FDP-Fraktionsvize Konstantin Kuhle, Moderatorin Anne Will, Grünen-Politiker Jürgen Trittin, Professorin Lamia Messari-Becker (v.l.)",Grüne,2
"Services: Services: Services: Services: Services: Services: Services: Permalink: https://www.faz.net/-gsb-b6hjk Aktuelle Nachrichten aus Politik, Wirtschaft, Sport und Kultur Herausgegeben von Gerald Braunberger, Jürgen Kaube, Carsten Knop, Berthold Kohler                             Zeitung                                                    FAZ.NET                         					Unions-Fraktionsvize Jens Spahn, Journalistin Petra Pinzler, FDP-Fraktionsvize Konstantin Kuhle, Moderatorin Anne Will, Grünen-Politiker Jürgen Trittin, Professorin Lamia Messari-Becker (v.l.)",FDP,2
"Services: Services: Services: Services: Services: Services: Services: Permalink: https://www.faz.net/-gsb-b6hjk Aktuelle Nachrichten aus Politik, Wirtschaft, Sport und Kultur Herausgegeben von Gerald Braunberger, Jürgen Kaube, Carsten Knop, Berthold Kohler                             Zeitung                                                    FAZ.NET                         					Unions-Fraktionsvize Jens Spahn, Journalistin Petra Pinzler, FDP-Fraktionsvize Konstantin Kuhle, Moderatorin Anne Will, Grünen-Politiker Jürgen Trittin, Professorin Lamia Messari-Becker (v.l.)",Union,2
"Bild: NDR/Wolfgang Borrs 			Eine halbe Stunde hinterlässt die Talkshow bei Anne Will den Eindruck, die Ampel könne konstruktive Politik betreiben.",Ampel,2
"Es macht sich ein Eindruck breit, die Ampel könne wirklich die Fortschrittskoalition werden, die sie sich zu sein vorgenommen hat.",Ampel,2
"Beim Publikum bleibt hängen: Das gemeinsame, durchaus auch mehrstimmige Ringen um Konzepte bringt uns weiter als die Frage, ob Wolfgang Kubicki nach seinem Habeck-Putin-Vergleich noch Vizepräsident des Deutschen Bundestages bleiben kann.",Wolfgang Kubicki,2
Jürgen Trittin (Grüne) verfügt als ehemaliger Bundesumweltminister über eine jahrzehntelange Erfahrung mit dem Thema.,Grüne,2
Jens Spahn (CDU) und Konstantin Kuhle (FDP) sind herausgehobene Vertreter ihrer Fraktionen.,CDU,2
Jens Spahn (CDU) und Konstantin Kuhle (FDP) sind herausgehobene Vertreter ihrer Fraktionen.,FDP,2
"FAZ Plus Artikel:                                  Streit in der Bundesregierung                                : Grüne haben „keinen Bock“ auf Stillstand                         Die Grünen ringen mit ihrer Rolle in der Ampel, dem Koalitionspartner FDP und der Frage, wie groß der Veränderungswille in Deutschland wirklich ist.",Koalition,1
"FAZ Plus Artikel:                                  Streit in der Bundesregierung                                : Grüne haben „keinen Bock“ auf Stillstand                         Die Grünen ringen mit ihrer Rolle in der Ampel, dem Koalitionspartner FDP und der Frage, wie groß der Veränderungswille in Deutschland wirklich ist.",Grüne,1
"FAZ Plus Artikel:                                  Streit in der Bundesregierung                                : Grüne haben „keinen Bock“ auf Stillstand                         Die Grünen ringen mit ihrer Rolle in der Ampel, dem Koalitionspartner FDP und der Frage, wie groß der Veränderungswille in Deutschland wirklich ist.",FDP,1
"FAZ Plus Artikel:                                  Streit in der Bundesregierung                                : Grüne haben „keinen Bock“ auf Stillstand                         Die Grünen ringen mit ihrer Rolle in der Ampel, dem Koalitionspartner FDP und der Frage, wie groß der Veränderungswille in Deutschland wirklich ist.",Die Grünen,1
"FAZ Plus Artikel:                                  Streit in der Bundesregierung                                : Grüne haben „keinen Bock“ auf Stillstand                         Die Grünen ringen mit ihrer Rolle in der Ampel, dem Koalitionspartner FDP und der Frage, wie groß der Veränderungswille in Deutschland wirklich ist.",Ampel,1
FAZ Plus Artikel:                                  Geplantes Gesetz                                : So teuer wird das klimaschonende Heizen für Mieter                         Bundeswirtschaftsminister Robert Habeck will den Einbau von Öl- und Gasheizungen verbieten.,Robert Habeck,1
"TV-Kritik „Anne Will“: Wenn der Streit nicht zünden will TV-Kritik „Anne Will“ Deutschland ist nicht Dänemark Eine halbe Stunde hinterlässt die Talkshow bei Anne Will den Eindruck, die Ampel könne konstruktive Politik betreiben.",Ampel,1
"TV-Kritik „Anne Will“                                : Deutschland ist nicht Dänemark                         Eine halbe Stunde hinterlässt die Talkshow bei Anne Will den Eindruck, die Ampel könne konstruktive Politik betreiben.",Ampel,1
Kritische Nachfragen erlebt Olaf Scholz als Bedrohung seiner Psychohygiene.,Olaf Scholz,1
Wie groß ist das Vertrauen der Bürger in die Regierung?,Regierung,1
Diese Frage diskutierte Maybrit Illner mit ihren Gästen Vizekanzler Robert Habeck und Deutsche-Bank-Chef Christian Sewing.,Robert Habeck,2
