Sentence,Entity,predicted_label
"Vor Kurzem sorgte Bundesbildungsministerin Bettina Stark-Watzinger (FDP) für Unmut in China, weil sie nach Taiwan reiste.",Bettina Stark-Watzinger,2
"Vor Kurzem sorgte Bundesbildungsministerin Bettina Stark-Watzinger (FDP) für Unmut in China, weil sie nach Taiwan reiste.",FDP,2
Der Außenminister von Honduras Eduardo Enrique Reina García mit dem chinesischen Amtskollegen Qin Gang Melden Sie sich an und diskutieren Sie mit  Ricarda Lang und Florian Wilsch im Februar auf der Berlinale Der Tweet besteht nur aus sieben Buchstaben und einem Herz-Emoji – und damit ist auch alles gesagt.,Ricarda Lang,2
Ricarda Lang ist verlobt.,Ricarda Lang,2
Die Grünenchefin setzte die Botschaft per Twitter ab und stellte ein Foto von sich und ihrem Verlobten Florian Wilsch dazu.,Grüne,2
Die Grünenchefin setzte die Botschaft per Twitter ab und stellte ein Foto von sich und ihrem Verlobten Florian Wilsch dazu.,Die Grünen,2
"Arbeitsminister Hubertus Heil (SPD), Klimaaktivistin Luisa Neubauer, SPD-Vorsitzender Lars Klingbeil, CDU-Generalsekretär Mario Czaja, Bundestagsvizepräsidentin Katrin Göring-Eckardt und Hunderte andere Menschen wünschten dem Paar alles Gute.",SPD,0
"Arbeitsminister Hubertus Heil (SPD), Klimaaktivistin Luisa Neubauer, SPD-Vorsitzender Lars Klingbeil, CDU-Generalsekretär Mario Czaja, Bundestagsvizepräsidentin Katrin Göring-Eckardt und Hunderte andere Menschen wünschten dem Paar alles Gute.",Hubertus Heil,0
"Arbeitsminister Hubertus Heil (SPD), Klimaaktivistin Luisa Neubauer, SPD-Vorsitzender Lars Klingbeil, CDU-Generalsekretär Mario Czaja, Bundestagsvizepräsidentin Katrin Göring-Eckardt und Hunderte andere Menschen wünschten dem Paar alles Gute.",Lars Klingbeil,0
"Arbeitsminister Hubertus Heil (SPD), Klimaaktivistin Luisa Neubauer, SPD-Vorsitzender Lars Klingbeil, CDU-Generalsekretär Mario Czaja, Bundestagsvizepräsidentin Katrin Göring-Eckardt und Hunderte andere Menschen wünschten dem Paar alles Gute.",Mario Czaja,0
"Arbeitsminister Hubertus Heil (SPD), Klimaaktivistin Luisa Neubauer, SPD-Vorsitzender Lars Klingbeil, CDU-Generalsekretär Mario Czaja, Bundestagsvizepräsidentin Katrin Göring-Eckardt und Hunderte andere Menschen wünschten dem Paar alles Gute.",Katrin Göring-Eckardt,0
"Arbeitsminister Hubertus Heil (SPD), Klimaaktivistin Luisa Neubauer, SPD-Vorsitzender Lars Klingbeil, CDU-Generalsekretär Mario Czaja, Bundestagsvizepräsidentin Katrin Göring-Eckardt und Hunderte andere Menschen wünschten dem Paar alles Gute.",CDU,0
Er war vor zehn Jahren Vorstandssprecher der Grünen Jugend Bayern.,Grüne,2
Ricarda Lang wurde am 17. Januar 1994 in Filderstadt bei Stuttgart geboren.,Ricarda Lang,2
"Sie ist seit etwa einem Jahrzehnt Grünenmitglied, war vor ihrer Wahl zur Bundesvorsitzenden von Bündnis 90/Die Grünen bereits Chefin der Nachwuchsorganisation Grüne Jugend, stellvertretende Bundesvorsitzende und frauenpolitische Sprecherin.",Grüne,2
"Sie ist seit etwa einem Jahrzehnt Grünenmitglied, war vor ihrer Wahl zur Bundesvorsitzenden von Bündnis 90/Die Grünen bereits Chefin der Nachwuchsorganisation Grüne Jugend, stellvertretende Bundesvorsitzende und frauenpolitische Sprecherin.",Bündnis 90/Die Grünen,2
"Sie ist seit etwa einem Jahrzehnt Grünenmitglied, war vor ihrer Wahl zur Bundesvorsitzenden von Bündnis 90/Die Grünen bereits Chefin der Nachwuchsorganisation Grüne Jugend, stellvertretende Bundesvorsitzende und frauenpolitische Sprecherin.",Die Grünen,2
Ricarda Lang und Florian Wilsch im Februar auf der Berlinale Melden Sie sich an und diskutieren Sie mit  Die Vorsitzende des Verteidigungsausschusses fordert eine schnellere Beschaffung: Marie-Agnes Strack-Zimmermann Schleppender Start für die 100 Milliarden Euro: Noch wurden die Handlungsmöglichkeiten durch den im Ukrainekrieg im Bundestag beschlossenen Sondertopf nicht ausgeschöpft.,Ricarda Lang,1
"Nun fordert die Vorsitzende des Verteidigungsausschusses, Marie-Agnes Strack-Zimmermann (FDP), eine schnellere Beschaffung von Ausrüstung und Waffen für die Bundeswehr. »",FDP,2
"Sie glaube, dass Boris Pistorius (SPD) der richtige Verteidigungsminister für diese Aufgabe sei.",SPD,2
"Wolfgang Kumm / dpa Die Vorsitzende der Linken, Janine Wissler, möchte Schulkinder und deren Eltern von regelmäßigen Hausaufgaben entlasten. »",Janine Wissler,2
"Bei den teils chaotischen Protesten gegen den Auftritt am Samstag wurde die Co-Vorsitzende der Grünen Partei Neuseelands, Marama Davidson, von einem Motorrad angefahren.",Grüne,1
"Konkret plante die Europäische Union dies ab 2018, die EU-Kommission legte einen entsprechenden Gesetzentwurf vor.",Union,2
Bett hüten und Nase putzen: Derzeit plagen sich in Deutschland viele Menschen mit Atemwegserkrankungen herum (Symbolbild) Melden Sie sich an und diskutieren Sie mit  Bundeskanzler Olaf Scholz (l.) mit Frankreichs Präsident Emmanuel Macron (Archivbild) Die Bundesregierung hat sich im Streit über ein Aus für neue Autos mit Verbrennungsmotor mit der EU-Kommission geeinigt.,Olaf Scholz,1
Das teilten Verkehrsminister Volker Wissing und EU-Kommissionsvize Frans Timmermans auf Twitter mit.,Volker Wissing,2
Nach SPIEGEL-Informationen hatte sich zunächst Kanzler Olaf Scholz mit Frankreichs Regierungschef Emmanuel Macron geeinigt.,Olaf Scholz,2
"Der Weg ist frei: Europa bleibt technologieneutral«, twitterte Bundesverkehrsminister Volker Wissing.",Volker Wissing,2
"Bundeskanzler Olaf Scholz (l.) mit Frankreichs Präsident Emmanuel Macron (Archivbild) Melden Sie sich an und diskutieren Sie mit  Der Konkurrenzdruck bei Kfz-Versicherungen ist groß Micha Kirsten / Finanztip Hermann-Josef Tenhagen, Jahrgang 1963, ist Chefredakteur von »Finanztip« und Geschäftsführer der Finanztip Verbraucherinformation GmbH. Der Geldratgeber ist Teil der Finanztip Stiftung. »",Olaf Scholz,2
Dort ist er heute ehrenamtlicher Aufsichtsrat der Genossenschaft.,Genossen,2
"Melden Sie sich an und diskutieren Sie mit  Ilia Yefimovich / dpa »Befreundet, aber unabhängige Parteien« – so bezeichnet Friedrich Merz die Beziehung zwischen CDU und CSU.",Friedrich Merz,2
"Melden Sie sich an und diskutieren Sie mit  Ilia Yefimovich / dpa »Befreundet, aber unabhängige Parteien« – so bezeichnet Friedrich Merz die Beziehung zwischen CDU und CSU.",CDU,2
"Melden Sie sich an und diskutieren Sie mit  Ilia Yefimovich / dpa »Befreundet, aber unabhängige Parteien« – so bezeichnet Friedrich Merz die Beziehung zwischen CDU und CSU.",CSU,2
"Der CDU-Vorsitzende sieht den Vorschlag der Ampelkoalition, die verabschiedete Wahlrechtsreform  nachzubessern und Listenverbindungen der Union zu ermöglichen, »als geradezu übergriffig« an.",Union,2
"Der CDU-Vorsitzende sieht den Vorschlag der Ampelkoalition, die verabschiedete Wahlrechtsreform  nachzubessern und Listenverbindungen der Union zu ermöglichen, »als geradezu übergriffig« an.",CDU,2
"Der CDU-Vorsitzende sieht den Vorschlag der Ampelkoalition, die verabschiedete Wahlrechtsreform  nachzubessern und Listenverbindungen der Union zu ermöglichen, »als geradezu übergriffig« an.",Ampelkoalition,2
"Der CDU-Vorsitzende sieht den Vorschlag der Ampelkoalition, die verabschiedete Wahlrechtsreform  nachzubessern und Listenverbindungen der Union zu ermöglichen, »als geradezu übergriffig« an.",Ampel,2
"Die Unionsparteien hätten sich entschlossen, »in räumlich unterschiedlichen Wahlgebieten zu kandidieren und nicht zu konkurrieren«, sagte Merz der »Welt am Sonntag«. »",Union,2
"Der Vorschlag einer Listenverbindung ist unbrauchbar zur Lösung des von der Ampel selbst herbeigeführten Problems«, sagte Merz nun.",Ampel,2
"Die Ampel wolle darüber entscheiden, wie sich CDU und CSU bei Bundestagswahlen aufzustellen haben, kritisierte der Unionsfraktionschef.",Union,1
"Die Ampel wolle darüber entscheiden, wie sich CDU und CSU bei Bundestagswahlen aufzustellen haben, kritisierte der Unionsfraktionschef.",CDU,1
"Die Ampel wolle darüber entscheiden, wie sich CDU und CSU bei Bundestagswahlen aufzustellen haben, kritisierte der Unionsfraktionschef.",CSU,1
"Die Ampel wolle darüber entscheiden, wie sich CDU und CSU bei Bundestagswahlen aufzustellen haben, kritisierte der Unionsfraktionschef.",Ampel,1
"Die Ampelkoalition hatte mit einer Wahlrechtsreform verabschiedet, dass die Fünf-Prozent-Klausel ab der Bundestagswahl 2025 ohne Ausnahmen gilt.",Ampelkoalition,2
"Die Ampelkoalition hatte mit einer Wahlrechtsreform verabschiedet, dass die Fünf-Prozent-Klausel ab der Bundestagswahl 2025 ohne Ausnahmen gilt.",Ampel,2
Im Jahr 2021 profitierte etwa die Linkspartei von der Grundmandatsklausel.,Linkspartei,2
"Der Wegfall könnte, je nach Wahlergebnis, Konsequenzen auch für die CSU haben.",CSU,2
"Die CSU tritt nur in Bayern an, die CDU nur in den anderen Bundesländern.",CDU,2
"Die CSU tritt nur in Bayern an, die CDU nur in den anderen Bundesländern.",CSU,2
"Die meisten Befürworterinnen und Befürworter fänden sich mit 69 Prozent unter denjenigen, die den Grünen nahestünden.",Grüne,2
Anhängerinnen und Anhänger der Union seien eher dagegen.,Union,2
"Melden Sie sich an und diskutieren Sie mit  Koalitionspartner: Christian Lindner, Robert Habeck und Olaf Scholz im Juni in Berlin Die FDP will SPD und Grünen beim »kalten Entzug« helfen: Vor dem Treffen der Koalitionsspitzen am Sonntag hat FDP-Vizefraktionschef Christoph Meyer von den Koalitionspartnern mit drastischen Worten mehr Ausgabendisziplin gefordert. »",SPD,2
"Melden Sie sich an und diskutieren Sie mit  Koalitionspartner: Christian Lindner, Robert Habeck und Olaf Scholz im Juni in Berlin Die FDP will SPD und Grünen beim »kalten Entzug« helfen: Vor dem Treffen der Koalitionsspitzen am Sonntag hat FDP-Vizefraktionschef Christoph Meyer von den Koalitionspartnern mit drastischen Worten mehr Ausgabendisziplin gefordert. »",Grüne,2
"Melden Sie sich an und diskutieren Sie mit  Koalitionspartner: Christian Lindner, Robert Habeck und Olaf Scholz im Juni in Berlin Die FDP will SPD und Grünen beim »kalten Entzug« helfen: Vor dem Treffen der Koalitionsspitzen am Sonntag hat FDP-Vizefraktionschef Christoph Meyer von den Koalitionspartnern mit drastischen Worten mehr Ausgabendisziplin gefordert. »",FDP,2
"Melden Sie sich an und diskutieren Sie mit  Koalitionspartner: Christian Lindner, Robert Habeck und Olaf Scholz im Juni in Berlin Die FDP will SPD und Grünen beim »kalten Entzug« helfen: Vor dem Treffen der Koalitionsspitzen am Sonntag hat FDP-Vizefraktionschef Christoph Meyer von den Koalitionspartnern mit drastischen Worten mehr Ausgabendisziplin gefordert. »",Olaf Scholz,2
"Melden Sie sich an und diskutieren Sie mit  Koalitionspartner: Christian Lindner, Robert Habeck und Olaf Scholz im Juni in Berlin Die FDP will SPD und Grünen beim »kalten Entzug« helfen: Vor dem Treffen der Koalitionsspitzen am Sonntag hat FDP-Vizefraktionschef Christoph Meyer von den Koalitionspartnern mit drastischen Worten mehr Ausgabendisziplin gefordert. »",Christian Lindner,2
"Melden Sie sich an und diskutieren Sie mit  Koalitionspartner: Christian Lindner, Robert Habeck und Olaf Scholz im Juni in Berlin Die FDP will SPD und Grünen beim »kalten Entzug« helfen: Vor dem Treffen der Koalitionsspitzen am Sonntag hat FDP-Vizefraktionschef Christoph Meyer von den Koalitionspartnern mit drastischen Worten mehr Ausgabendisziplin gefordert. »",Robert Habeck,2
"Die ungezügelte Ausgabensucht von SPD und Grünen stoppen wir«, sagte Meyer den Zeitungen der Funke Mediengruppe. »",SPD,2
"Die ungezügelte Ausgabensucht von SPD und Grünen stoppen wir«, sagte Meyer den Zeitungen der Funke Mediengruppe. »",Grüne,2
"Manchmal muss man dem Alkoholkranken die Flasche Schnaps vom Mund schlagen«, fügte der FDP-Haushaltspolitiker hinzu.",FDP,2
"Meyer warnte SPD und Grüne davor, Gelder aus dem 200-Milliarden-Abwehrschirm gegen steigende Energiepreise für andere Zwecke verwenden zu wollen. »",SPD,2
"Meyer warnte SPD und Grüne davor, Gelder aus dem 200-Milliarden-Abwehrschirm gegen steigende Energiepreise für andere Zwecke verwenden zu wollen. »",Grüne,2
"FDP-Generalsekretär Bijan Djir-Sarai pochte darauf, die Bürger nicht weiter zu belasten, »weder durch Steuererhöhungen noch durch ein übereiltes Verbot von Öl- und Gasheizungen«.",FDP,1
"FDP-Generalsekretär Bijan Djir-Sarai pochte darauf, die Bürger nicht weiter zu belasten, »weder durch Steuererhöhungen noch durch ein übereiltes Verbot von Öl- und Gasheizungen«.",Bijan Djir-Sarai,1
"Grünenchefin Ricarda Lang sagte wiederum im sächsischen Bautzen, man müsse beim Klimaschutz von dem Modus wegkommen, dass nur eine Partei Vorschläge mache und viele andere nur sagten, wie es nicht gehe.",Grüne,2
"Grünenchefin Ricarda Lang sagte wiederum im sächsischen Bautzen, man müsse beim Klimaschutz von dem Modus wegkommen, dass nur eine Partei Vorschläge mache und viele andere nur sagten, wie es nicht gehe.",Ricarda Lang,2
"Seit Wochen gibt es in der Koalition teils scharfe Diskussionen etwa über den Autobahnausbau, den Klimaschutz im Verkehrsbereich, den Heizungstausch und den anstehenden Etat für 2024. Der Bund der Steuerzahler rief die Spitzen der Ampelparteien derweil auf, bei ihren Beratungen im Koalitionsausschuss alle Ausgaben auf den Prüfstand zu stellen, um den Haushalt zu konsolidieren. »",Ampel,2
"Seit Wochen gibt es in der Koalition teils scharfe Diskussionen etwa über den Autobahnausbau, den Klimaschutz im Verkehrsbereich, den Heizungstausch und den anstehenden Etat für 2024. Der Bund der Steuerzahler rief die Spitzen der Ampelparteien derweil auf, bei ihren Beratungen im Koalitionsausschuss alle Ausgaben auf den Prüfstand zu stellen, um den Haushalt zu konsolidieren. »",Ampelparteien,2
"Koalitionspartner: Christian Lindner, Robert Habeck und Olaf Scholz im Juni in Berlin Melden Sie sich an und diskutieren Sie mit  Liebe Leserin, lieber Leser, guten Morgen, heute geht es um die Vorhersehbarkeit von Politik, deutsche Panzer und einen morschen Hauptbahnhof.",Olaf Scholz,2
"Koalitionspartner: Christian Lindner, Robert Habeck und Olaf Scholz im Juni in Berlin Melden Sie sich an und diskutieren Sie mit  Liebe Leserin, lieber Leser, guten Morgen, heute geht es um die Vorhersehbarkeit von Politik, deutsche Panzer und einen morschen Hauptbahnhof.",Christian Lindner,2
"Koalitionspartner: Christian Lindner, Robert Habeck und Olaf Scholz im Juni in Berlin Melden Sie sich an und diskutieren Sie mit  Liebe Leserin, lieber Leser, guten Morgen, heute geht es um die Vorhersehbarkeit von Politik, deutsche Panzer und einen morschen Hauptbahnhof.",Robert Habeck,2
Es gilt nur eingeschränkt für die Ampelkoalition.,Ampelkoalition,2
Es gilt nur eingeschränkt für die Ampelkoalition.,Ampel,2
"Es hat schon Treffen unter einfacheren Vorzeichen gegeben, also ohne einen Vizekanzler (Robert Habeck, falls es Ihnen kurz entfallen sein sollte), der den Koalitionspartnern Vertrauensbruch vorwirft.",Robert Habeck,2
"Und ohne eine FDP, die sich gerade an den Verbrennermotor klammert wie die katholische Kirche an die Lehre von der Jungfrauengeburt.",FDP,1
Damals war noch Kurt Beck SPD-Vorsitzender. (,SPD,2
"Es lief schon länger nicht überragend für Beck (noch mal schlechter als gerade für Friedrich Merz), allmählich rückte die Bundestagswahl 2009 näher, und es stellte sich die Frage, ob Beck überhaupt noch ein akzeptabler Kanzlerkandidat sein könne (natürlich nicht).",Friedrich Merz,1
"Zu dieser Zeit, ein Jahr vor der Wahl, stand eine Klausur der SPD-Spitze am Schwielowsee an, und viele Menschen fragten sich, was dort wohl passieren würde.",SPD,1
"Ich weiß noch genau, dass ich damals den Hessischen Rundfunk einschaltete und ein Radiokollege mir (und allen anderen Hörerinnen und Hörern) in einem etwas genervten Ton erklärte, dass ja derzeit vor jedem SPD-Treffen spekuliert und gefragt werde, ob denn jetzt eigentlich ein Kanzlerkandidat gekürt würde.",SPD,2
"Okay, Kurt Beck schmiss dann hin, Frank-Walter Steinmeier wurde Kanzlerkandidat, und durch die SPD lief das größte Beben seit Günter Guillaume.",SPD,1
"Okay, Kurt Beck schmiss dann hin, Frank-Walter Steinmeier wurde Kanzlerkandidat, und durch die SPD lief das größte Beben seit Günter Guillaume.",Frank-Walter Steinmeier,1
"Kommentar: Der Selbsthass der Ampel  Ich habe diese Woche viele Mails von Leserinnen und Lesern bekommen, darüber habe ich mich sehr gefreut.",Ampel,2
"Er regte damals an, dass ich doch mehrere Sozialdemokraten, die damals besonders skeptisch waren, mal etwas eingehender befragen, sie mit der Realität in der Ukraine konfrontieren sollte.",Sozialdemokraten,2
"»Helfen beim kalten Entzug«: FDP-Fraktionsvize Meyer wirft SPD und Grünen »ungezügelte Ausgabensucht« vor Verheerender Wirbelsturm: Mindestens sieben Tote bei Tornado in Mississippi Uno-Ermittlungen: Ukraine verwahrt sich gegen Vorwurf willkürlicher Exekutionen von Kriegsgefangenen »Ein Jahresgehalt von 300.000 Dollar ist natürlich verlockend«: Für diesen Job muss man keine Programmiersprache können: Prompt Writers bringen künstliche Intelligenzen dazu, optimale Ergebnisse zu liefern.",SPD,1
"»Helfen beim kalten Entzug«: FDP-Fraktionsvize Meyer wirft SPD und Grünen »ungezügelte Ausgabensucht« vor Verheerender Wirbelsturm: Mindestens sieben Tote bei Tornado in Mississippi Uno-Ermittlungen: Ukraine verwahrt sich gegen Vorwurf willkürlicher Exekutionen von Kriegsgefangenen »Ein Jahresgehalt von 300.000 Dollar ist natürlich verlockend«: Für diesen Job muss man keine Programmiersprache können: Prompt Writers bringen künstliche Intelligenzen dazu, optimale Ergebnisse zu liefern.",Grüne,1
"»Helfen beim kalten Entzug«: FDP-Fraktionsvize Meyer wirft SPD und Grünen »ungezügelte Ausgabensucht« vor Verheerender Wirbelsturm: Mindestens sieben Tote bei Tornado in Mississippi Uno-Ermittlungen: Ukraine verwahrt sich gegen Vorwurf willkürlicher Exekutionen von Kriegsgefangenen »Ein Jahresgehalt von 300.000 Dollar ist natürlich verlockend«: Für diesen Job muss man keine Programmiersprache können: Prompt Writers bringen künstliche Intelligenzen dazu, optimale Ergebnisse zu liefern.",FDP,1
"»Helfen beim kalten Entzug«: FDP-Fraktionsvize Meyer wirft SPD und Grünen »ungezügelte Ausgabensucht« vor Verheerender Wirbelsturm: Mindestens sieben Tote bei Tornado in Mississippi Uno-Ermittlungen: Ukraine verwahrt sich gegen Vorwurf willkürlicher Exekutionen von Kriegsgefangenen »Ein Jahresgehalt von 300.000 Dollar ist natürlich verlockend«: Für diesen Job muss man keine Programmiersprache können: Prompt Writers bringen künstliche Intelligenzen dazu, optimale Ergebnisse zu liefern.",FDP-Fraktion,1
Melden Sie sich an und diskutieren Sie mit  Familienministerin Lisa Paus (Grüne) und Justizminister Marco Buschmann (FDP) bei der Vorstellung des Eckpunktepapiers zum Selbstbestimmungsgesetz in der Bundespressekonferenz in Berlin (30.06.2022) Die Bundesregierung hat beim von der Ampelkoalition geplanten Selbstbestimmungsgesetz zur vereinfachten Änderung von amtlichem Geschlechtseintrag und Vornamen eine Einigung erzielt.,Grüne,2
Melden Sie sich an und diskutieren Sie mit  Familienministerin Lisa Paus (Grüne) und Justizminister Marco Buschmann (FDP) bei der Vorstellung des Eckpunktepapiers zum Selbstbestimmungsgesetz in der Bundespressekonferenz in Berlin (30.06.2022) Die Bundesregierung hat beim von der Ampelkoalition geplanten Selbstbestimmungsgesetz zur vereinfachten Änderung von amtlichem Geschlechtseintrag und Vornamen eine Einigung erzielt.,FDP,2
Melden Sie sich an und diskutieren Sie mit  Familienministerin Lisa Paus (Grüne) und Justizminister Marco Buschmann (FDP) bei der Vorstellung des Eckpunktepapiers zum Selbstbestimmungsgesetz in der Bundespressekonferenz in Berlin (30.06.2022) Die Bundesregierung hat beim von der Ampelkoalition geplanten Selbstbestimmungsgesetz zur vereinfachten Änderung von amtlichem Geschlechtseintrag und Vornamen eine Einigung erzielt.,Ampelkoalition,2
Melden Sie sich an und diskutieren Sie mit  Familienministerin Lisa Paus (Grüne) und Justizminister Marco Buschmann (FDP) bei der Vorstellung des Eckpunktepapiers zum Selbstbestimmungsgesetz in der Bundespressekonferenz in Berlin (30.06.2022) Die Bundesregierung hat beim von der Ampelkoalition geplanten Selbstbestimmungsgesetz zur vereinfachten Änderung von amtlichem Geschlechtseintrag und Vornamen eine Einigung erzielt.,Ampel,2
Melden Sie sich an und diskutieren Sie mit  Familienministerin Lisa Paus (Grüne) und Justizminister Marco Buschmann (FDP) bei der Vorstellung des Eckpunktepapiers zum Selbstbestimmungsgesetz in der Bundespressekonferenz in Berlin (30.06.2022) Die Bundesregierung hat beim von der Ampelkoalition geplanten Selbstbestimmungsgesetz zur vereinfachten Änderung von amtlichem Geschlechtseintrag und Vornamen eine Einigung erzielt.,Lisa Paus,2
Melden Sie sich an und diskutieren Sie mit  Familienministerin Lisa Paus (Grüne) und Justizminister Marco Buschmann (FDP) bei der Vorstellung des Eckpunktepapiers zum Selbstbestimmungsgesetz in der Bundespressekonferenz in Berlin (30.06.2022) Die Bundesregierung hat beim von der Ampelkoalition geplanten Selbstbestimmungsgesetz zur vereinfachten Änderung von amtlichem Geschlechtseintrag und Vornamen eine Einigung erzielt.,Marco Buschmann,2
"Bundesfamilienministerin Lisa Paus (Grüne) hatte Anfang des Jahres mitgeteilt, das Selbstbestimmungsgesetz solle noch vor der parlamentarischen Sommerpause beschlossen werden.",Grüne,2
"Bundesfamilienministerin Lisa Paus (Grüne) hatte Anfang des Jahres mitgeteilt, das Selbstbestimmungsgesetz solle noch vor der parlamentarischen Sommerpause beschlossen werden.",Lisa Paus,2
"Familienministerin Lisa Paus (Grüne) und Justizminister Marco Buschmann (FDP) bei der Vorstellung des Eckpunktepapiers zum Selbstbestimmungsgesetz in der Bundespressekonferenz in Berlin (30.06.2022) Melden Sie sich an und diskutieren Sie mit  Trotz Randbebauung soll das Tempelhofer Feld die grüne Lunge Berlins bleiben In ihren Koalitionsgesprächen in Berlin haben sich die Verhandler von CDU und SPD darauf geeinigt, das Tempelhofer Feld teilweise zu bebauen.",SPD,1
"Familienministerin Lisa Paus (Grüne) und Justizminister Marco Buschmann (FDP) bei der Vorstellung des Eckpunktepapiers zum Selbstbestimmungsgesetz in der Bundespressekonferenz in Berlin (30.06.2022) Melden Sie sich an und diskutieren Sie mit  Trotz Randbebauung soll das Tempelhofer Feld die grüne Lunge Berlins bleiben In ihren Koalitionsgesprächen in Berlin haben sich die Verhandler von CDU und SPD darauf geeinigt, das Tempelhofer Feld teilweise zu bebauen.",Grüne,1
"Familienministerin Lisa Paus (Grüne) und Justizminister Marco Buschmann (FDP) bei der Vorstellung des Eckpunktepapiers zum Selbstbestimmungsgesetz in der Bundespressekonferenz in Berlin (30.06.2022) Melden Sie sich an und diskutieren Sie mit  Trotz Randbebauung soll das Tempelhofer Feld die grüne Lunge Berlins bleiben In ihren Koalitionsgesprächen in Berlin haben sich die Verhandler von CDU und SPD darauf geeinigt, das Tempelhofer Feld teilweise zu bebauen.",FDP,1
"Familienministerin Lisa Paus (Grüne) und Justizminister Marco Buschmann (FDP) bei der Vorstellung des Eckpunktepapiers zum Selbstbestimmungsgesetz in der Bundespressekonferenz in Berlin (30.06.2022) Melden Sie sich an und diskutieren Sie mit  Trotz Randbebauung soll das Tempelhofer Feld die grüne Lunge Berlins bleiben In ihren Koalitionsgesprächen in Berlin haben sich die Verhandler von CDU und SPD darauf geeinigt, das Tempelhofer Feld teilweise zu bebauen.",CDU,1
